ID,Pathway
AKT3,Signaling by VEGF
AKT3,Negative regulation of the PI3K/AKT network
AKT3,PI3K/AKT Signaling in Cancer
AKT3,G beta:gamma signalling through PI3Kgamma
AKT3,G-protein beta:gamma signalling
AKT3,VEGFA-VEGFR2 Pathway
AKT3,VEGFR2 mediated vascular permeability
AKT3,Constitutive Signaling by AKT1 E17K in Cancer
MED6,Respiratory Syncytial Virus Infection Pathway
MED6,RSV-host interactions
ABI1,Signaling by VEGF
ABI1,VEGFA-VEGFR2 Pathway
ABI1,RHO GTPases Activate WASPs and WAVEs
ABI1,RAC2 GTPase cycle
ABI1,RAC3 GTPase cycle
ABI1,Parasite infection
ABI1,Leishmania phagocytosis
ABI1,FCGR3A-mediated phagocytosis
HDAC6,Signaling by NOTCH1
HDAC6,NOTCH1 Intracellular Domain Regulates Transcription
HDAC6,Signaling by NOTCH1 PEST Domain Mutants in Cancer
HDAC6,Signaling by NOTCH1 in Cancer
HDAC6,Constitutive Signaling by NOTCH1 PEST Domain Mutants
HDAC6,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
HDAC6,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
HDAC5,Signaling by NOTCH1
HDAC5,NOTCH1 Intracellular Domain Regulates Transcription
HDAC5,Signaling by NOTCH1 PEST Domain Mutants in Cancer
HDAC5,Signaling by NOTCH1 in Cancer
HDAC5,Constitutive Signaling by NOTCH1 PEST Domain Mutants
HDAC5,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
HDAC5,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
HDAC5,Regulation of PTEN gene transcription
PDCD6IP,Budding and maturation of HIV virion
PDCD6IP,Uptake and actions of bacterial toxins
PDCD6IP,Bacterial Infection Pathways
BCL2L11,NRAGE signals death through JNK
BCL2L11,p75 NTR receptor-mediated signalling
BCL2L11,"Cell death signalling via NRAGE, NRIF and NADE"
BCL2L11,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
BCL2L11,Neurodegenerative Diseases
BCL2L11,Diseases of programmed cell death
BCL2L11,Defective Intrinsic Pathway for Apoptosis
SH2B3,Signaling by SCF-KIT
SH2B3,Regulation of KIT signaling
FRAT1,Degradation of beta-catenin by the destruction complex
FRAT1,Beta-catenin phosphorylation cascade
FRAT1,Disassembly of the destruction complex and recruitment of AXIN to the membrane
MED16,Respiratory Syncytial Virus Infection Pathway
MED16,RSV-host interactions
ARHGEF33,NRAGE signals death through JNK
ARHGEF33,p75 NTR receptor-mediated signalling
ARHGEF33,"Cell death signalling via NRAGE, NRIF and NADE"
ARHGEF33,G alpha (12/13) signalling events
MAMLD1,Pre-NOTCH Transcription and Translation
MAMLD1,Pre-NOTCH Expression and Processing
MAMLD1,Signaling by NOTCH1
MAMLD1,Signaling by NOTCH2
MAMLD1,NOTCH1 Intracellular Domain Regulates Transcription
MAMLD1,NOTCH2 intracellular domain regulates transcription
MAMLD1,Signaling by NOTCH1 PEST Domain Mutants in Cancer
MAMLD1,Signaling by NOTCH1 in Cancer
MAMLD1,Constitutive Signaling by NOTCH1 PEST Domain Mutants
MAMLD1,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
MAMLD1,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
MAMLD1,Signaling by NOTCH3
MAMLD1,NOTCH3 Intracellular Domain Regulates Transcription
MAMLD1,Signaling by NOTCH4
MAMLD1,NOTCH4 Intracellular Domain Regulates Transcription
RANBP9,Signaling by MET
FNTB,RAS processing
FNTB,Potential therapeutics for SARS
AP1M2,Host Interactions of HIV factors
AP1M2,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
AP1M2,The role of Nef in HIV-1 replication and disease pathogenesis
BMI1,Regulation of PTEN gene transcription
NR1H3,NR1H2 and NR1H3-mediated signaling
NR1H3,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
MUC12,Diseases of glycosylation
MUC12,Diseases associated with O-glycosylation of proteins
MUC12,Defective GALNT3 causes HFTC
MUC12,Defective GALNT12 causes CRCS1
MUC12,Diseases of metabolism
PTPRU,Signaling by SCF-KIT
ARPC5,RHO GTPases Activate WASPs and WAVEs
ARPC5,Parasite infection
ARPC5,Leishmania phagocytosis
ARPC5,FCGR3A-mediated phagocytosis
ARPC4,RHO GTPases Activate WASPs and WAVEs
ARPC4,Parasite infection
ARPC4,Leishmania phagocytosis
ARPC4,FCGR3A-mediated phagocytosis
ARPC3,RHO GTPases Activate WASPs and WAVEs
ARPC3,Parasite infection
ARPC3,Leishmania phagocytosis
ARPC3,FCGR3A-mediated phagocytosis
ARPC1B,RHO GTPases Activate WASPs and WAVEs
ARPC1B,Parasite infection
ARPC1B,Leishmania phagocytosis
ARPC1B,FCGR3A-mediated phagocytosis
ACTR3,RHO GTPases Activate WASPs and WAVEs
ACTR3,Parasite infection
ACTR3,Leishmania phagocytosis
ACTR3,FCGR3A-mediated phagocytosis
ACTR2,RHO GTPases Activate WASPs and WAVEs
ACTR2,Parasite infection
ACTR2,Leishmania phagocytosis
ACTR2,FCGR3A-mediated phagocytosis
ARPC2,RHO GTPases Activate WASPs and WAVEs
ARPC2,Parasite infection
ARPC2,Leishmania phagocytosis
ARPC2,FCGR3A-mediated phagocytosis
RAD50,Diseases of DNA repair
RAD50,Diseases of DNA Double-Strand Break Repair
RAD50,Defective homologous recombination repair (HRR) due to BRCA2 loss of function
RAD50,Defective homologous recombination repair (HRR) due to BRCA1 loss of function
RAD50,Defective homologous recombination repair (HRR) due to PALB2 loss of function
RAD50,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function
RAD50,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function
RAD50,Impaired BRCA2 binding to RAD51
RAD50,Impaired BRCA2 binding to PALB2
ARL4C,NR1H2 and NR1H3-mediated signaling
ARL4C,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
RASGRP1,Effects of PIP2 hydrolysis
RASGRP1,Integrin signaling
DNAL4,Retrograde neurotrophin signalling
DNAL4,Signaling by NTRK1 (TRKA)
OPTN,TNFR1-induced proapoptotic signaling
OPTN,Regulation of TNFR1 signaling
OPTN,TNFR1-induced NF-kappa-B signaling pathway
OPTN,TNF signaling
BCAP31,RHOA GTPase cycle
BCAP31,Respiratory Syncytial Virus Infection Pathway
BCAP31,RSV-host interactions
G3BP1,SARS-CoV-2 activates/modulates innate and adaptive immune responses
ABI2,Signaling by VEGF
ABI2,VEGFA-VEGFR2 Pathway
ABI2,RHO GTPases Activate WASPs and WAVEs
ABI2,RAC2 GTPase cycle
ABI2,RAC3 GTPase cycle
ABI2,Parasite infection
ABI2,Leishmania phagocytosis
ABI2,FCGR3A-mediated phagocytosis
TRIM28,HCMV Infection
TRIM28,HCMV Early Events
RASA4,Regulation of RAS by GAPs
FARP1,RHOA GTPase cycle
FARP1,RHOF GTPase cycle
LPAR6,P2Y receptors
LPAR6,Nucleotide-like (purinergic) receptors
WASF2,Signaling by VEGF
WASF2,VEGFA-VEGFR2 Pathway
WASF2,RHO GTPases Activate WASPs and WAVEs
WASF2,RAC2 GTPase cycle
WASF2,RAC3 GTPase cycle
WASF2,Parasite infection
WASF2,Leishmania phagocytosis
WASF2,FCGR3A-mediated phagocytosis
CDK2,Signaling by PTK6
CDK2,Signaling by Non-Receptor Tyrosine Kinases
DHRS9,Signaling by Retinoic Acid
DHRS9,RA biosynthesis pathway
CDK4,Signaling by PTK6
CDK4,Signaling by Non-Receptor Tyrosine Kinases
RNF41,Signaling by ERBB2
RNF41,Downregulation of ERBB2 signaling
ADAM10,Signaling by NOTCH1
ADAM10,Signaling by NOTCH2
ADAM10,Activated NOTCH1 Transmits Signal to the Nucleus
ADAM10,Signaling by NOTCH1 PEST Domain Mutants in Cancer
ADAM10,Signaling by NOTCH1 in Cancer
ADAM10,Constitutive Signaling by NOTCH1 PEST Domain Mutants
ADAM10,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
ADAM10,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
ADAM10,NOTCH2 Activation and Transmission of Signal to the Nucleus
ADAM10,Signaling by NOTCH3
ADAM10,NOTCH3 Activation and Transmission of Signal to the Nucleus
ADAM10,Signaling by NOTCH4
CDK5,Opioid Signalling
CDK5,DARPP-32 events
CDK5,Signaling by NTRK1 (TRKA)
CDK5,Nuclear Events (kinase and transcription factor activation)
CDK5,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
CDK5,Neurodegenerative Diseases
