Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
NOTCH1 Intracellular Domain Regulates Transcription,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.14657534024280588,-0.14648851090700304,8.68293358028475e-05,21,21,large,higher_in_label1(disease)
Bacterial Infection Pathways,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.17953741137930546,-0.1786977604665804,0.00083965091272505,21,21,large,higher_in_label1(disease)
Signaling by NOTCH2,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.253123447126062,-0.2527326578341902,0.0003907892918718,21,21,large,higher_in_label1(disease)
Signaling by MET,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0318358540977265,-0.0034684585863925,0.028367395511334,21,21,large,higher_in_label1(disease)
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.03192087275075875,-0.0028171423104269497,0.0291037304403318,21,21,large,higher_in_label1(disease)
Diseases of DNA repair,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0241986833660849,-0.0031072029117265,0.0210914804543584,21,21,large,higher_in_label1(disease)
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.03494878651848796,-0.0349657458684503,-1.695934996233442e-05,21,21,large,higher_in_label1(disease)
Impaired BRCA2 binding to RAD51,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0996111645377107,-0.0033044832796687,0.096306681258042,21,21,large,higher_in_label1(disease)
Impaired BRCA2 binding to PALB2,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.019119177951528697,-0.0025823619661002,0.0165368159854285,21,21,large,higher_in_label1(disease)
TNFR1-induced NF-kappa-B signaling pathway,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0514764872417597,-0.0029906745846989,0.0484858126570608,21,21,large,higher_in_label1(disease)
Signaling by Retinoic Acid,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.45194246937511146,-0.4511468466884152,0.0007956226866962499,21,21,large,higher_in_label1(disease)
RA biosynthesis pathway,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.2582871829005741,-0.2579083019452339,0.0003788809553402,21,21,large,higher_in_label1(disease)
NOTCH2 Activation and Transmission of Signal to the Nucleus,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0791698613306347,-0.006816729315378399,0.0723531320152563,21,21,large,higher_in_label1(disease)
Opioid Signalling,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.2963745821867241,-0.2957325189131699,0.0006420632735542,21,21,large,higher_in_label1(disease)
Signaling by NTRK2 (TRKB),4.2751007120983355e-07,3.125399998400872e-08,1.0,0.1038043687924143,-0.1034279665227065,0.0003764022697078,21,21,large,higher_in_label1(disease)
RHOBTB GTPase Cycle,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.20366766001694592,-0.2032075894814167,0.0004600705355292,21,21,large,higher_in_label1(disease)
Signaling by ALK in cancer,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.4163579144957113,-0.4149598321236929,0.0013980823720184,21,21,large,higher_in_label1(disease)
Signaling by ALK fusions and activated point mutants,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.16845071328299335,-0.16833253151177946,0.0001181817712139,21,21,large,higher_in_label1(disease)
RHOQ GTPase cycle,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.8251944788914362,-0.8230990519709525,0.0020954269204837,21,21,large,higher_in_label1(disease)
Aberrant regulation of mitotic exit in cancer due to RB1 defects,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0676700618112938,-0.0025179225545042,0.0651521392567896,21,21,large,higher_in_label1(disease)
SARS-CoV-1-host interactions,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.4219734300387334,-0.4213416052844341,0.0006318247542993,21,21,large,higher_in_label1(disease)
HCMV Late Events,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.21016086015244959,-0.20914298089405164,0.00101787925839795,21,21,large,higher_in_label1(disease)
Late SARS-CoV-2 Infection Events,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.6397171613506614,-0.6375514013127419,0.0021657600379194498,21,21,large,higher_in_label1(disease)
Viral Messenger RNA Synthesis,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0439722265517941,-0.0030238309748632,0.0409483955769309,21,21,large,higher_in_label1(disease)
Signaling by AXIN mutants,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0304844296975121,-0.00098172059863345,0.02950270909887865,21,21,large,higher_in_label1(disease)
APC truncation mutants have impaired AXIN binding,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.06488438490699922,-0.06480721194301665,7.717296398255943e-05,21,21,large,higher_in_label1(disease)
Defective pyroptosis,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.3269467839418011,-0.3264591856975117,0.0004875982442894,21,21,large,higher_in_label1(disease)
Competing endogenous RNAs (ceRNAs) regulate PTEN translation,4.2751007120983355e-07,3.125399998400872e-08,1.0,0.0082176416505097,-0.0015225093152196,0.0066951323352901,21,21,large,higher_in_label1(disease)
Cell recruitment (pro-inflammatory response),4.455876780721136e-07,3.606584339487081e-08,0.9954648526077097,0.0201630816053812,-0.0018952155106725,0.0182678660947087,21,21,large,higher_in_label1(disease)
Glucagon-type ligand receptors,4.455876780721136e-07,3.606584339487081e-08,0.9954648526077097,0.0487157143238863,-0.0031399798707489,0.0455757344531374,21,21,large,higher_in_label1(disease)
Maturation of hRSV A proteins,4.455876780721136e-07,3.606584339487081e-08,0.9954648526077097,0.03314838838329859,-0.0331335607074955,1.4827675803087091e-05,21,21,large,higher_in_label1(disease)
Signaling by EGFRvIII in Cancer,4.978152337560079e-07,4.1592917702851843e-08,0.9909297052154196,0.0077855285333408505,-0.0007537434643612,0.007031785068979651,21,21,large,higher_in_label1(disease)
Constitutive Signaling by NOTCH1 PEST Domain Mutants,8.4864624466203e-07,7.3120955806389e-08,0.9727891156462585,0.24217478126230732,-0.2415751403873868,0.0005996408749205,21,21,large,higher_in_label1(disease)
Interactions of Vpr with host cellular proteins,1.1481622226615268e-06,1.1091906589680546e-07,0.9591836734693877,0.0415449324589975,-0.000882199939785,0.0406627325192125,21,21,large,higher_in_label1(disease)
Response of Mtb to phagocytosis,1.1481622226615268e-06,1.1091906589680546e-07,0.9591836734693877,0.0359661015032834,-0.0009664825325318,0.0349996189707516,21,21,large,higher_in_label1(disease)
Insulin receptor signalling cascade,1.1481622226615268e-06,1.1091906589680546e-07,0.9591836734693877,0.14822416632027538,-0.1479767358555744,0.000247430464701,21,21,large,higher_in_label1(disease)
Signaling by Erythropoietin,1.1481622226615268e-06,1.1091906589680546e-07,0.9591836734693877,0.02196783380312,-0.0020249266988904497,0.01994290710422955,21,21,large,higher_in_label1(disease)
Degradation of GLI1 by the proteasome,1.4336716246518072e-06,1.4598745002981848e-07,-0.9501133786848073,-0.0527237279900608,0.0526207013918814,-0.0001030265981794,21,21,large,higher_in_label0(control)
RHOJ GTPase cycle,1.4336716246518072e-06,1.4598745002981848e-07,0.9501133786848073,0.06601703767790056,-0.0033891245860906,0.06262791309180996,21,21,large,higher_in_label1(disease)
RND1 GTPase cycle,1.602171817035061e-06,1.6732864929870087e-07,0.945578231292517,0.30135298348256323,-0.3007012302062181,0.00065175327634515,21,21,large,higher_in_label1(disease)
ERK/MAPK targets,1.790496635864761e-06,1.9167196363043132e-07,-0.9410430839002267,-0.0169742339705704,0.0003170160206482,-0.0166572179499222,21,21,large,higher_in_label0(control)
