Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
Signaling by ALK in cancer,2.962211051622665e-06,7.734232510764139e-09,0.8816067653276956,0.8913222796821768,-0.8890244915334684,0.0022977881487084,22,43,large,higher_in_label1(disease)
HCMV Late Events,0.00010580156750869084,6.692975524130078e-07,0.7589852008456659,0.22725612318701488,-0.22642731987589798,0.0008288033111169,22,43,large,higher_in_label1(disease)
Defective pyroptosis,0.00010580156750869084,8.287329047678133e-07,0.7526427061310783,0.435847683422408,-0.43518787261424285,0.0006598108081651501,22,43,large,higher_in_label1(disease)
Signaling by FGFR2 in disease,0.00013097537717588276,1.6691313835101985e-06,0.7315010570824525,0.15039135218287142,-0.1503154182223042,7.593396056721096e-05,22,43,large,higher_in_label1(disease)
Regulation of PTEN gene transcription,0.00013097537717588276,2.051833585000774e-06,0.7251585623678647,0.05234647921195902,-0.001845569456176325,0.0505009097557827,22,43,large,higher_in_label1(disease)
Impaired BRCA2 binding to PALB2,0.00013097537717588276,2.051833585000774e-06,0.7251585623678647,0.012999212733458176,-0.002839056472619875,0.0101601562608383,22,43,large,higher_in_label1(disease)
RND1 GTPase cycle,0.00015778017291209195,2.883710732074788e-06,0.7145877378435519,0.4734217158219778,-0.47265866054663186,0.0007630552753459,22,43,large,higher_in_label1(disease)
Nuclear signaling by ERBB4,0.00016895886097144578,3.529166808803045e-06,-0.7082452431289641,-0.16241530409876348,0.1622688535292721,-0.0001464505694914,22,43,large,higher_in_label0(control)
TNF signaling,0.0002909427224086643,6.836774155817176e-06,-0.6871035940803383,-0.07432313135629312,0.07384616175810932,-0.0004769695981838,22,43,large,higher_in_label0(control)
Signaling by VEGF,0.000672446514079154,1.895209247572878e-05,-0.6532769556025371,-0.14517832711810885,0.14459678135349405,-0.0005815457646148,22,43,large,higher_in_label0(control)
PI-3K cascade:FGFR4,0.000672446514079154,2.145691103300622e-05,0.6490486257928119,0.0225654221772142,-0.0021996880060669,0.0203657341711473,22,43,large,higher_in_label1(disease)
Regulation of TNFR1 signaling,0.000672446514079154,2.2824555308169718e-05,0.6469344608879493,0.11390392167442638,-0.11375830949779818,0.0001456121766282,22,43,large,higher_in_label1(disease)
Insulin receptor recycling,0.000672446514079154,2.2824555308169718e-05,0.6469344608879493,0.1190369748281649,-0.00452988282403395,0.11450709200413095,22,43,large,higher_in_label1(disease)
Signaling by Hippo,0.001292014473399184,4.7227683100753467e-05,0.6215644820295982,0.0056441022808319,-0.0004817563674979,0.005162345913334,22,43,large,higher_in_label1(disease)
Signaling by ALK fusions and activated point mutants,0.0013479072322530748,5.31756326516528e-05,0.6173361522198733,0.1582723541557393,-0.15835158653528814,-7.923237954885837e-05,22,43,large,higher_in_label1(disease)
Negative regulation of MET activity,0.0013479072322530748,5.982878054387016e-05,-0.613107822410148,-0.0049894470091412235,0.0049959799074978,6.5328983565767195e-06,22,43,large,higher_in_label0(control)
Nuclear import of Rev protein,0.0013479072322530748,5.982878054387016e-05,0.613107822410148,0.2185077077631897,-0.21825875935149386,0.00024894841169585,22,43,large,higher_in_label1(disease)
Regulation of PTEN stability and activity,0.001431250094506972,6.726501749641121e-05,-0.6088794926004228,-0.01551124276119545,0.01533381799366175,-0.0001774247675337,22,43,large,higher_in_label0(control)
NRIF signals cell death from the nucleus,0.0015188172541189687,7.557012777831691e-05,0.6046511627906976,0.006255840330217826,-0.0014012923107933248,0.0048545480194245,22,43,large,higher_in_label1(disease)
Parasite infection,0.0015188172541189687,8.007765156366855e-05,0.602536997885835,0.08106153096732575,-0.00428744614478395,0.0767740848225418,22,43,large,higher_in_label1(disease)
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.0015188172541189687,8.986596109555966e-05,0.5983086680761098,0.027798996501867252,-0.00237054497019955,0.0254284515316677,22,43,large,higher_in_label1(disease)
Maturation of hRSV A proteins,0.0015188172541189687,8.986596109555966e-05,0.5983086680761098,0.02093933457967878,-0.0208948586277498,4.4475951928982895e-05,22,43,large,higher_in_label1(disease)
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.0015188172541189687,9.517392715105808e-05,0.5961945031712474,0.11772451017948145,-0.11801334324055895,-0.0002888330610775,22,43,large,higher_in_label1(disease)
G beta:gamma signalling through CDC42,0.0015188172541189687,9.517392715105808e-05,0.5961945031712474,0.03610132279857876,-0.03611841253383978,-1.70897352610228e-05,22,43,large,higher_in_label1(disease)
Nucleotide-like (purinergic) receptors,0.0018309386363367707,0.00011951296581832708,-0.587737843551797,-0.07022071523317695,0.07002270911292065,-0.0001980061202563,22,43,large,higher_in_label0(control)
Formation of the beta-catenin:TCF transactivating complex,0.002007195600738645,0.0001414994287726982,0.5813953488372092,0.02402159944867025,-0.00448591954373995,0.0195356799049303,22,43,large,higher_in_label1(disease)
Neurotoxicity of clostridium toxins,0.002007195600738645,0.0001414994287726982,0.5813953488372092,0.05155861437167575,-0.0036188874677574,0.04793972690391835,22,43,large,higher_in_label1(disease)
Pausing and recovery of HIV elongation,0.0021641739064205915,0.00015821636913779783,0.5771670190274842,0.19630527388565722,-0.19576431035854241,0.0005409635271148,22,43,large,higher_in_label1(disease)
RHOC GTPase cycle,0.0023849534908018575,0.00018681097839179042,0.5708245243128964,0.02946961642239745,-0.029464970914980126,4.645507417325542e-06,22,43,large,higher_in_label1(disease)
SHC-mediated cascade:FGFR4,0.0023849534908018575,0.00018681097839179042,0.5708245243128964,0.008295677675396799,-0.0017474783853235,0.0065481992900733,22,43,large,higher_in_label1(disease)
NOTCH3 Intracellular Domain Regulates Transcription,0.0032018795777116506,0.00025915996582000304,-0.5581395348837209,-0.07548120551923874,0.0752583328243292,-0.00022287269490955,22,43,large,higher_in_label0(control)
Ca2+ pathway,0.0036444547688371117,0.00030449752637803543,-0.5517970401691332,-0.008612845985783926,0.000409617218958125,-0.0082032287668258,22,43,large,higher_in_label0(control)
RHO GTPases Activate WASPs and WAVEs,0.0037277718814377253,0.00032119183312648807,0.5496828752642706,0.015147135699455024,-0.002029866619018625,0.0131172690804364,22,43,large,higher_in_label1(disease)
STAT3 nuclear events downstream of ALK signaling,0.004241829475535373,0.0003765592745906076,-0.5433403805496828,-0.0293404328452196,0.0289579129350735,-0.0003825199101461,22,43,large,higher_in_label0(control)
Tat-mediated HIV elongation arrest and recovery,0.004823069287533352,0.0004407504570852933,0.5369978858350952,0.1373406797200003,-0.1369676963543986,0.0003729833656017,22,43,large,higher_in_label1(disease)
Aberrant regulation of mitotic cell cycle due to RB1 defects,0.00493989810881375,0.0004643246264159139,0.5348837209302326,0.035686350589617874,-0.0027204569976112753,0.0329658935920066,22,43,large,higher_in_label1(disease)
RHOQ GTPase cycle,0.005062546154690349,0.0004890710384426708,0.53276955602537,0.698038688639164,-0.6973109857178168,0.0007277029213472,22,43,large,higher_in_label1(disease)
Activated point mutants of FGFR2,0.005191091205404383,0.0005150429916589205,-0.5306553911205074,-0.09092375035809745,0.09065204824860545,-0.000271702109492,22,43,large,higher_in_label0(control)
RHOBTB GTPase Cycle,0.005325624245139985,0.0005422959414111212,0.5285412262156448,0.22301995381869202,-0.22254003992806481,0.0004799138906272,22,43,large,higher_in_label1(disease)
Signaling by EGFRvIII in Cancer,0.006370309646119408,0.000665306490456335,0.5200845665961944,0.01051778414490585,-0.00150457982431275,0.0090132043205931,22,43,large,higher_in_label1(disease)
"Cell death signalling via NRAGE, NRIF and NADE",0.006537875555687351,0.0006998770177106563,0.517970401691332,0.07695226624005386,-0.0057321727218928,0.07122009351816105,22,43,large,higher_in_label1(disease)
G alpha (12/13) signalling events,0.007058878500484462,0.0007740806710714032,0.5137420718816068,0.0768603299281386,-0.0072546455046178,0.0696056844235208,22,43,large,higher_in_label1(disease)
Diseases of DNA repair,0.007620216118378585,0.0008555334023244886,0.5095137420718816,0.0247208074011461,-0.0022100644810810997,0.022510742920065,22,43,large,higher_in_label1(disease)
G-protein beta:gamma signalling,0.0076529878549994775,0.0008991761187336201,0.507399577167019,0.15930643639153866,-0.15930324565353945,3.190737999215719e-06,22,43,large,higher_in_label1(disease)
P2Y receptors,0.0076529878549994775,0.0008991761187336201,0.507399577167019,0.00770902980987575,-0.0019467950977806502,0.0057622347120951,22,43,large,higher_in_label1(disease)
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.010052828129715911,0.0012073892792870285,-0.4947145877378436,-0.05147694925746143,0.05123935851600743,-0.000237590741454,22,43,large,higher_in_label0(control)
NOTCH2 Activation and Transmission of Signal to the Nucleus,0.01032781008058206,0.0012673813937006705,0.492600422832981,0.08790875369143811,-0.0085069438194926,0.0794018098719455,22,43,large,higher_in_label1(disease)
PI3K Cascade,0.010613209711328132,0.0013301150552056144,0.4904862579281184,0.000555105886493175,-0.000672731435723525,-0.00011762554923035,22,43,large,higher_in_label1(disease)
NOTCH2 intracellular domain regulates transcription,0.011216244888479042,0.001464261734788387,0.4862579281183932,0.02120122941008294,-0.021193213188195253,8.016221887683733e-06,22,43,large,higher_in_label1(disease)
Signaling by WNT in cancer,0.011216244888479042,0.001464261734788387,-0.4862579281183932,-0.00207045179187855,0.00189361269875105,-0.0001768390931275,22,43,large,higher_in_label0(control)
Signalling to ERKs,0.011864010358558568,0.0016107794742690484,-0.4820295983086681,-0.02301932453102475,0.0010448354668312,-0.02197448906419355,22,43,large,higher_in_label0(control)
Downstream signaling of activated FGFR4,0.011864010358558568,0.0016107794742690484,0.482029598308668,0.050335489572314616,-0.050240925370536746,9.456420177787034e-05,22,43,large,higher_in_label1(disease)
Maturation of nucleoprotein,0.012795713223431008,0.0017706861640779201,0.477801268498943,0.018345750397323425,-0.001564705098806025,0.0167810452985174,22,43,large,higher_in_label1(disease)
Degradation of GLI1 by the proteasome,0.013302897624325051,0.0019450711931128014,-0.4735729386892178,-0.019073637754619597,0.01887773006745975,-0.00019590768715985,22,43,medium,higher_in_label0(control)
Late SARS-CoV-2 Infection Events,0.013302897624325051,0.0019450711931128014,0.4735729386892178,0.9564563687641793,-0.9534615735102727,0.00299479525390655,22,43,medium,higher_in_label1(disease)
FCGR3A-mediated IL10 synthesis,0.013302897624325051,0.0019450711931128014,-0.4735729386892178,-0.0019758485012726667,-9.698154428383493e-06,-0.0019855466557010502,22,43,medium,higher_in_label0(control)
RHO GTPases activate CIT,0.013860051565242048,0.0021350993272827175,0.4693446088794926,0.00607310296840815,-0.0008707265246526499,0.0052023764437555,22,43,medium,higher_in_label1(disease)
mTORC1-mediated signalling,0.013860051565242048,0.0021350993272827175,0.4693446088794926,0.004179907034980475,-0.00033792416099157497,0.0038419828739889,22,43,medium,higher_in_label1(disease)
Signaling by BMP,0.013860051565242048,0.0021350993272827175,-0.4693446088794926,-0.007035793085371491,0.007019641628213625,-1.6151457157866492e-05,22,43,medium,higher_in_label0(control)
RHO GTPases Activate ROCKs,0.014949860483478251,0.00234201469715064,-0.4651162790697675,-0.023717047212092092,0.0236931080227323,-2.393918935979091e-05,22,43,medium,higher_in_label0(control)
Signaling by AMER1 mutants,0.015148370238985017,0.002452216592211674,-0.4630021141649049,-0.0435349762876414,0.0434335866199225,-0.0001013896677189,22,43,medium,higher_in_label0(control)
Cell recruitment (pro-inflammatory response),0.015148370238985017,0.002452216592211674,0.4630021141649048,0.011447852080999375,-0.002880240578545375,0.008567611502454,22,43,medium,higher_in_label1(disease)
RHOD GTPase cycle,0.0160798915149317,0.002686979260980754,0.4587737843551798,0.0341791335553729,-0.0002792780508748,0.0338998555044981,22,43,medium,higher_in_label1(disease)
Oncogenic MAPK signaling,0.0160798915149317,0.002686979260980754,-0.4587737843551797,-0.06534121593987391,0.06520719967085131,-0.0001340162690226,22,43,medium,higher_in_label0(control)
Hedgehog 'on' state,0.018135359700474092,0.0030778025601326787,-0.452431289640592,-0.1338206257539533,0.13337648740972569,-0.0004441383442276,22,43,medium,higher_in_label0(control)
