Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
SARS-CoV-1-host interactions,8.425822741150118e-12,2.1999537183159576e-14,0.9735360360360361,0.9216760829899633,-0.9214263552722359,0.00024972771772737844,24,148,large,higher_in_label1(disease)
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",5.777621654207297e-10,3.4555601026518598e-12,0.8868243243243243,0.9926839345192564,-0.991805242380522,0.0008786921387344251,24,148,large,higher_in_label1(disease)
Late SARS-CoV-2 Infection Events,5.777621654207297e-10,4.873280601649146e-12,0.8806306306306306,1.0436658312448874,-1.0419054296663701,0.0017604015785173499,24,148,large,higher_in_label1(disease)
RAC2 GTPase cycle,5.777621654207297e-10,7.758781955198322e-12,0.8721846846846846,0.03540949160399992,-0.0068802490123952495,0.028529242591604675,24,148,large,higher_in_label1(disease)
Signaling by APC mutants,5.777621654207297e-10,8.252427470330516e-12,-0.8710585585585586,-0.07603545327682494,0.0758878144811761,-0.00014763879564884999,24,148,large,higher_in_label0(control)
Signaling by NTRK2 (TRKB),5.777621654207297e-10,9.051104419123701e-12,0.8693693693693694,0.21250665804274427,-0.21234361033429383,0.00016304770845044998,24,148,large,higher_in_label1(disease)
Signaling by Erythropoietin,6.72968108073337e-10,1.229967821543958e-11,0.8637387387387387,0.011187639564844601,-0.00359616531089105,0.00759147425395355,24,148,large,higher_in_label1(disease)
WNT5A-dependent internalization of FZD4,9.874625201831238e-10,2.0625848985548278e-11,0.8541666666666667,0.010563482360289424,-0.0012567610777920752,0.009306721282497349,24,148,large,higher_in_label1(disease)
Rev-mediated nuclear export of HIV RNA,9.904822067029286e-10,2.327503879980772e-11,-0.8519144144144144,-0.04437291733680315,0.04391345227610325,-0.0004594650606999,24,148,large,higher_in_label0(control)
RHOH GTPase cycle,1.5296675566885417e-09,3.9939100696828765e-11,0.8417792792792793,0.1170883733037284,-0.1169183394176327,0.0001700338860957,24,148,large,higher_in_label1(disease)
G alpha (z) signalling events,1.712674219005932e-09,4.9189076786071155e-11,0.8378378378378379,0.26728662124591923,-0.2673446092498696,-5.798800395033339e-05,24,148,large,higher_in_label1(disease)
Signaling by NTRK3 (TRKC),1.9317437334119137e-09,6.052460783536022e-11,0.8338963963963963,0.0016677332105151,-0.0008128447310905499,0.00085488847942455,24,148,large,higher_in_label1(disease)
mTORC1-mediated signalling,2.2574520571293065e-09,7.662369906705219e-11,0.8293918918918919,0.008946169875935498,-0.001266629359458875,0.007679540516476624,24,148,large,higher_in_label1(disease)
Degradation of beta-catenin by the destruction complex,2.357491313417807e-09,8.617461720065091e-11,-0.8271396396396397,-0.02329779914452426,0.0232017036422347,-9.609550228956046e-05,24,148,large,higher_in_label0(control)
Constitutive Signaling by NOTCH1 PEST Domain Mutants,3.124197810718969e-09,1.223576166077925e-10,-0.8203828828828829,-0.028852460377336898,0.0026504821006838,-0.026201978276653097,24,148,large,higher_in_label0(control)
Truncations of AMER1 destabilize the destruction complex,4.029245313214927e-09,1.6832356399853481e-10,-0.8141891891891893,-0.041340864576049886,0.0412862219512706,-5.46426247792839e-05,24,148,large,higher_in_label0(control)
Signaling by TGFBR3,4.380499885342119e-09,1.9443472075931076e-10,0.8113738738738738,0.005525122504694199,-0.006643367185471399,-0.0011182446807772,24,148,large,higher_in_label1(disease)
Respiratory Syncytial Virus Infection Pathway,4.510013672610165e-09,2.1195886712006e-10,0.8096846846846846,0.0522995646998106,-0.006144199863058425,0.04615536483675217,24,148,large,higher_in_label1(disease)
Hh mutants abrogate ligand secretion,6.376843900649281e-09,3.1634473658573456e-10,0.8018018018018018,0.0175812053089363,-0.004156754969848225,0.013424450339088075,24,148,large,higher_in_label1(disease)
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,7.183964395573355e-09,3.7514174389416993e-10,0.7984234234234233,0.013244638696454626,-0.0029385918221451,0.010306046874309525,24,148,large,higher_in_label1(disease)
Adenylate cyclase activating pathway,8.107951260268503e-09,4.4456129625493105e-10,-0.795045045045045,-0.0761346756453125,0.0753827429767947,-0.0007519326685178,24,148,large,higher_in_label0(control)
Negative regulation of the PI3K/AKT network,1.3945513613126233e-08,8.010477793440656e-10,0.7832207207207207,0.056072735784659926,-0.0560635445894485,9.191195211430236e-06,24,148,large,higher_in_label1(disease)
NOTCH4 Intracellular Domain Regulates Transcription,4.338719835849494e-08,2.6054975515545265e-09,-0.759009009009009,-0.000613897705434226,0.00045090380206895,-0.00016299390336527603,24,148,large,higher_in_label0(control)
Formation of HIV elongation complex in the absence of HIV Tat,5.8982900063201027e-08,3.696056400827218e-09,0.7516891891891893,0.03193276783097981,-0.0319457938813542,-1.3026050374392866e-05,24,148,large,higher_in_label1(disease)
APC truncation mutants have impaired AXIN binding,6.135368449265007e-08,4.0048096927317284e-09,0.75,0.09057555731442829,-0.0905770646253716,-1.5073109433109195e-06,24,148,large,higher_in_label1(disease)
NOTCH3 Intracellular Domain Regulates Transcription,1.6915110926070896e-07,1.1482842926314447e-08,-0.7274774774774775,-0.0473003828256444,0.0471142804144236,-0.00018610241122079998,24,148,large,higher_in_label0(control)
Pausing and recovery of Tat-mediated HIV elongation,2.278847191400556e-07,1.6064980200473894e-08,-0.7201576576576576,-0.04416996347579833,0.04409724455300495,-7.271892279338399e-05,24,148,large,higher_in_label0(control)
