Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
Signaling by ALK in cancer,1.698596130463105e-05,7.684948731552629e-08,1.0,0.43797416088440133,-0.43590349579301285,0.0020706650913885002,16,26,large,higher_in_label1(disease)
Defective CFTR causes cystic fibrosis,1.698596130463105e-05,8.869953683880444e-08,0.9951923076923077,0.08579725767097997,-0.0037215150145731746,0.0820757426564068,16,26,large,higher_in_label1(disease)
G alpha (s) signalling events,3.0342140274610763e-05,2.3766689510138976e-07,0.9615384615384615,0.4923840329384117,-0.49132326158714995,0.0010607713512617752,16,26,large,higher_in_label1(disease)
Downstream signaling of activated FGFR3,7.632065053441236e-05,8.053635212071367e-07,0.9182692307692308,0.06505248707661276,-0.0649178118053368,0.0001346752712759568,16,26,large,higher_in_label1(disease)
FGFR1 mutant receptor activation,7.632065053441236e-05,1.1956237681631179e-06,-0.9038461538461539,-0.03804703105712327,0.0007122301705272,-0.037334800886596076,16,26,large,higher_in_label0(control)
Effects of PIP2 hydrolysis,7.632065053441236e-05,1.1956237681631179e-06,0.9038461538461537,0.10106568040435367,-0.10095075657976879,0.000114923824584875,16,26,large,higher_in_label1(disease)
Signaling by PDGF,9.606569507068304e-05,1.7646760939985703e-06,0.8894230769230769,0.03543186778956682,-0.0034867120579647496,0.03194515573160207,16,26,large,higher_in_label1(disease)
CTNNB1 S45 mutants aren't phosphorylated,9.606569507068304e-05,2.0065941529124395e-06,0.8846153846153846,0.01570342660808445,-0.00050016398751285,0.015203262620571601,16,26,large,higher_in_label1(disease)
Diseases of glycosylation,0.00014183552065146217,3.3329495714442805e-06,-0.8653846153846154,-0.15667516424205866,0.15588006730634385,-0.0007950969357148,16,26,large,higher_in_label0(control)
Formation of the beta-catenin:TCF transactivating complex,0.00016388079609237796,4.2788719606365e-06,0.8557692307692308,0.07758435358127455,-0.0056497814271913,0.07193457215408325,16,26,large,higher_in_label1(disease)
Signaling by NTRK2 (TRKB),0.00020616817358827527,6.1940862071901e-06,-0.8413461538461539,-0.03502008421382373,0.002531858011692425,-0.03248822620213131,16,26,large,higher_in_label0(control)
Signaling downstream of RAS mutants,0.00020616817358827527,6.9978753437273594e-06,-0.8365384615384616,-0.03402415863443372,0.03362211335192977,-0.00040204528250395,16,26,large,higher_in_label0(control)
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.00020616817358827527,6.9978753437273594e-06,0.8365384615384615,0.07238816069356757,-0.004092916637494726,0.06829524405607285,16,26,large,higher_in_label1(disease)
IRS-mediated signalling,0.00024387929525381224,8.914647868285566e-06,0.8269230769230769,0.025691164539602053,-0.025669404906317625,2.1759633284428244e-05,16,26,large,higher_in_label1(disease)
Serotonin receptors,0.0003665481182743428,1.4355670428499067e-05,-0.8076923076923077,-0.026991845509911645,0.0269294484856994,-6.239702421224704e-05,16,26,large,higher_in_label0(control)
RAC3 GTPase cycle,0.0008141531527855788,4.0388798702156645e-05,0.7644230769230769,0.11891871872920858,-0.11862091830647498,0.0002978004227336,16,26,large,higher_in_label1(disease)
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.0008141531527855788,4.0388798702156645e-05,0.7644230769230769,0.0432600037248373,-0.0430811919423617,0.0001788117824756,16,26,large,higher_in_label1(disease)
Nuclear signaling by ERBB4,0.0008141531527855788,4.0388798702156645e-05,-0.7644230769230769,-0.0429691814770852,0.04258002956214875,-0.00038915191493644997,16,26,large,higher_in_label0(control)
NEP/NS2 Interacts with the Cellular Export Machinery,0.0008141531527855788,4.0388798702156645e-05,-0.7644230769230769,-0.027205322264782374,0.02717420271711915,-3.111954766322492e-05,16,26,large,higher_in_label0(control)
PI-3K cascade:FGFR4,0.0010793495501261762,5.636290078987865e-05,-0.75,-0.10612538192796477,0.10524951008811087,-0.0008758718398539,16,26,large,higher_in_label0(control)
MAPK6/MAPK4 signaling,0.0010951096714368533,6.290447198853988e-05,0.7451923076923077,0.018766191052540973,-0.00088994453022885,0.017876246522312123,16,26,large,higher_in_label1(disease)
Negative regulation of FGFR4 signaling,0.0010951096714368533,6.290447198853988e-05,0.7451923076923077,0.03156076933674085,-0.0014743543330116749,0.030086415003729175,16,26,large,higher_in_label1(disease)
Phospholipase C-mediated cascade; FGFR4,0.0013022540151709366,7.820324373089176e-05,-0.7355769230769231,-0.06860950014841333,0.06793921129794647,-0.0006702888504668499,16,26,large,higher_in_label0(control)
Downstream signaling of activated FGFR2,0.0013901691083588557,8.711242454468024e-05,-0.7307692307692308,-0.016747269677486847,0.016698752272168625,-4.851740531822035e-05,16,26,large,higher_in_label0(control)
Signaling by FGFR2,0.0018375594236122424,0.00011994513208957198,0.7163461538461537,0.06117847387939273,-0.002983263349922575,0.05819521052947015,16,26,large,higher_in_label1(disease)
Truncations of AMER1 destabilize the destruction complex,0.0021798416406945634,0.0001479788058957145,0.7067307692307692,0.01077381006601555,-0.00024398644896262502,0.010529823617052925,16,26,large,higher_in_label1(disease)
FRS-mediated FGFR3 signaling,0.002329313686648397,0.00016420749227025254,-0.7019230769230769,-0.01630683903041583,0.016288861898632975,-1.7977131782854412e-05,16,26,large,higher_in_label0(control)
Translation of Structural Proteins,0.0024049759226659776,0.00018210000458828552,-0.6971153846153846,-0.07285301537842517,0.07241258049209867,-0.0004404348863265,16,26,large,higher_in_label0(control)
Adenylate cyclase activating pathway,0.0024049759226659776,0.00018210000458828552,0.6971153846153846,0.01488303944892965,-0.0020244280632914,0.01285861138563825,16,26,large,higher_in_label1(disease)
Infection with Mycobacterium tuberculosis,0.0028535972821327076,0.00022351936935765333,0.6875,0.018470824799047374,-0.000563955005022925,0.01790686979402445,16,26,large,higher_in_label1(disease)
Signaling by ERBB2 KD Mutants,0.0030566152565892034,0.0002474022792539564,-0.6826923076923077,-0.03623394505417513,0.03616070169227355,-7.324336190158467e-05,16,26,large,higher_in_label0(control)
p75NTR signals via NF-kB,0.003620780682368618,0.0003025195348193101,-0.6730769230769231,-0.058482234422156124,0.05822792961953395,-0.000254304802622175,16,26,large,higher_in_label0(control)
Opioid Signalling,0.0037647383976467737,0.0003342065418276509,0.6682692307692308,0.4422620518074486,-0.44142650467683525,0.000835547130613325,16,26,large,higher_in_label1(disease)
RHO GTPases activate CIT,0.0037647383976467737,0.0003342065418276509,-0.6682692307692308,-0.08594988737604742,0.08564174388208917,-0.00030814349395825004,16,26,large,higher_in_label0(control)
NS1 Mediated Effects on Host Pathways,0.00433120182227463,0.00040711035405192344,-0.6586538461538461,-0.024542636595204354,0.0244904487877019,-5.2187807502452485e-05,16,26,large,higher_in_label0(control)
Signaling by NTRK3 (TRKC),0.00433120182227463,0.00040711035405192344,-0.6586538461538461,-0.020873478979072626,0.0208192835749819,-5.419540409072635e-05,16,26,large,higher_in_label0(control)
Downregulation of ERBB2 signaling,0.004524424511643853,0.00044889851551557807,0.6538461538461537,0.01334996674429035,-0.00126065079474755,0.0120893159495428,16,26,large,higher_in_label1(disease)
Signaling by TGF-beta Receptor Complex,0.004524424511643853,0.00044889851551557807,0.6538461538461537,0.0817756795083213,-0.0036089430763786997,0.07816673643194261,16,26,large,higher_in_label1(disease)
Bacterial Infection Pathways,0.005740461481242864,0.0005995260032629622,0.6394230769230769,0.14076870847921846,-0.14023564724331417,0.0005330612359043,16,26,large,higher_in_label1(disease)
Constitutive Signaling by Aberrant PI3K in Cancer,0.005740461481242864,0.0005995260032629622,0.6394230769230769,0.039676433038356,-0.0033527852185316247,0.036323647819824376,16,26,large,higher_in_label1(disease)
Signaling by FGFR,0.007260204703715623,0.0007961582181620266,0.625,0.08718128640417985,-0.0049166682677024495,0.0822646181364774,16,26,large,higher_in_label1(disease)
Signaling by FGFR4,0.007260204703715623,0.0007961582181620266,0.625,0.06476625623556026,-0.00270125556330235,0.062065000672257904,16,26,large,higher_in_label1(disease)
"Cell death signalling via NRAGE, NRIF and NADE",0.00778477034267115,0.0008740081585766566,0.6201923076923077,0.0414331093494317,-0.0039040017152943,0.0375291076341374,16,26,large,higher_in_label1(disease)
Negative regulation of the PI3K/AKT network,0.00894774490077081,0.0010513016201950038,0.6105769230769231,0.10194398111134897,-0.1017148511736797,0.00022912993766927502,16,26,large,higher_in_label1(disease)
Activated NOTCH1 Transmits Signal to the Nucleus,0.00894774490077081,0.0010513016201950038,0.6105769230769231,0.007830086238505351,-0.0001118612390526,0.007718224999452751,16,26,large,higher_in_label1(disease)
Ca2+ pathway,0.009386947519373606,0.0011519230637351424,0.6057692307692308,0.12472103342017082,-0.12431402006449108,0.00040701335567975,16,26,large,higher_in_label1(disease)
CTNNB1 T41 mutants aren't phosphorylated,0.009386947519373606,0.0011519230637351424,0.6057692307692308,0.01544322218576065,-0.0020589943197513753,0.013384227866009275,16,26,large,higher_in_label1(disease)
Signalling to ERKs,0.009859375077683537,0.0012613821900952827,0.6009615384615385,0.0997187254761802,-0.0992375146438111,0.0004812108323691,16,26,large,higher_in_label1(disease)
Signaling by APC mutants,0.009859375077683537,0.0012613821900952827,0.6009615384615385,0.013027484088680576,-0.001811786848891675,0.0112156972397889,16,26,large,higher_in_label1(disease)
