Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
Opioid Signalling,0.0007915644078158657,3.115946769233366e-06,0.8888888888888888,0.5800269593469249,-0.5783990462329647,0.0016279131139603001,18,20,large,higher_in_label1(disease)
Aberrant regulation of mitotic exit in cancer due to RB1 defects,0.0007915644078158657,4.133495602171623e-06,-0.8777777777777778,-0.1419967444974791,0.14117719314278737,-0.0008195513546917251,18,20,large,higher_in_label0(control)
G alpha (s) signalling events,0.0010065118957039028,1.2386447683562335e-05,0.8333333333333333,0.4849778723115458,-0.4843729720063683,0.0006049003051775,18,20,large,higher_in_label1(disease)
Effects of PIP2 hydrolysis,0.0010065118957039028,1.6163670873702244e-05,0.8222222222222222,0.1133037420075748,-0.11315762834087997,0.000146113666694825,18,20,large,higher_in_label1(disease)
Formation of the beta-catenin:TCF transactivating complex,0.0010065118957039028,1.6163670873702244e-05,0.8222222222222222,0.12090233968026054,-0.00502649144257575,0.11587584823768479,18,20,large,higher_in_label1(disease)
CaM pathway,0.0010065118957039028,1.6163670873702244e-05,0.8222222222222222,0.008325504665220149,-0.00030588504014620005,0.00801961962507395,18,20,large,higher_in_label1(disease)
Adenylate cyclase activating pathway,0.0010065118957039028,1.8441781269760808e-05,0.8166666666666667,0.04971252437875005,-0.0024471561081286,0.04726536827062145,18,20,large,higher_in_label1(disease)
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.0010065118957039028,2.1023747168749927e-05,0.8111111111111111,0.026080327339545826,-0.0021125534987486497,0.023967773840797176,18,20,large,higher_in_label1(disease)
Signaling by ALK in cancer,0.0011598845230644296,2.7255772082453956e-05,0.8,0.6298514918086827,-0.6276945420516042,0.00215694975707845,18,20,large,higher_in_label1(disease)
Serotonin receptors,0.0011871311826839835,3.0995592237179725e-05,-0.7944444444444445,-0.024784940258627545,0.024747955234196026,-3.698502443152055e-05,18,20,large,higher_in_label0(control)
Signaling by NTRK2 (TRKB),0.0012262882220718165,3.5219766169164445e-05,-0.7888888888888889,-0.07488326716236547,0.00198058260306565,-0.07290268455929982,18,20,large,higher_in_label0(control)
Downregulation of ERBB2 signaling,0.0016411030922581875,5.1418373647776105e-05,0.7722222222222221,0.0280135447961619,-0.00110650350463175,0.02690704129153015,18,20,large,higher_in_label1(disease)
Signalling to ERKs,0.001715704228223881,5.8235391558512936e-05,0.7666666666666666,0.11023609271976352,-0.1096468932646688,0.000589199455094725,18,20,large,higher_in_label1(disease)
HCMV Late Events,0.0018029031780680675,6.590246603904163e-05,0.7611111111111111,0.2590357271601381,-0.2577902679321878,0.00124545922795035,18,20,large,higher_in_label1(disease)
Transcription of the HIV genome,0.0024267840920463965,9.504376339607298e-05,0.7444444444444445,0.055154395214199126,-0.0023785556903599247,0.0527758395238392,18,20,large,higher_in_label1(disease)
Diseases of glycosylation,0.0025662741737158845,0.00010720727618656437,-0.7388888888888889,-0.18307434323634134,0.1821501959342205,-0.00092414730212085,18,20,large,higher_in_label0(control)
Regulation of KIT signaling,0.0025709768593722934,0.00012082919965718349,0.7333333333333334,0.06151691834217183,-0.00309983513397495,0.05841708320819688,18,20,large,higher_in_label1(disease)
Evasion by RSV of host interferon responses,0.0025709768593722934,0.00012082919965718349,-0.7333333333333334,-0.03555297028773803,0.034677120124977756,-0.000875850162760275,18,20,large,higher_in_label0(control)
PLC beta mediated events,0.0030864140168265584,0.00015311192250575616,0.7222222222222223,0.4330703886185658,-0.4316197873667951,0.001450601251770675,18,20,large,higher_in_label1(disease)
Abortive elongation of HIV-1 transcript in the absence of Tat,0.003703441150253501,0.00019339118278086166,0.711111111111111,0.04654038559986092,-0.002431517852353775,0.04410886774750715,18,20,large,higher_in_label1(disease)
RHO GTPases Activate NADPH Oxidases,0.005572502184629676,0.00030554189524079165,0.6888888888888889,0.009846353169214148,-0.0001863771108238,0.009659976058390349,18,20,large,higher_in_label1(disease)
Calmodulin induced events,0.0059515119906407505,0.00034186230755638776,0.6833333333333333,0.11249344621786667,-0.11253071473605288,-3.72685181862141e-05,18,20,large,higher_in_label1(disease)
Signaling by TGF-beta Receptor Complex,0.006364317794877796,0.00038219140804749167,0.6777777777777778,0.09719031340146557,-0.004603875641693475,0.0925864377597721,18,20,large,higher_in_label1(disease)
SARS-CoV-1-host interactions,0.006813145212684701,0.0004269333814737149,0.6722222222222223,1.0705032803566203,-1.0677083140607295,0.0027949662958908,18,20,large,higher_in_label1(disease)
Signaling by NTRK1 (TRKA),0.007821642297548913,0.0005314568202078674,0.6611111111111112,0.18521531645054562,-0.1849407855718361,0.000274530878709525,18,20,large,higher_in_label1(disease)
CTNNB1 S45 mutants aren't phosphorylated,0.007821642297548913,0.0005314568202078674,0.6611111111111112,0.015137838077657024,-0.000340917444406575,0.014796920633250448,18,20,large,higher_in_label1(disease)
Purinergic signaling in leishmaniasis infection,0.007821642297548913,0.0005922392340180639,-0.6555555555555556,-0.024738413092008076,0.024040005126098826,-0.00069840796590925,18,20,large,higher_in_label0(control)
Potential therapeutics for SARS,0.007821642297548913,0.0005922392340180639,0.6555555555555554,0.1115341270043044,-0.11136254131199377,0.00017158569231062498,18,20,large,higher_in_label1(disease)
Signaling by APC mutants,0.007821642297548913,0.0005922392340180639,0.6555555555555554,0.016561512783077326,-0.00125108963766155,0.015310423145415775,18,20,large,higher_in_label1(disease)
SARS-CoV-2 modulates autophagy,0.00814730477281159,0.0006594424228646456,-0.65,-0.0020957244968876,0.000212399950631,-0.0018833245462565999,18,20,large,higher_in_label0(control)
MAP2K and MAPK activation,0.00814730477281159,0.0006594424228646456,0.6499999999999999,0.01919482369522905,-0.0009265350924651,0.01826828860276395,18,20,large,higher_in_label1(disease)
Signaling by Retinoic Acid,0.00946615818995114,0.0008156219850349546,-0.6388888888888888,-0.03753902773578425,0.00109150856388035,-0.0364475191719039,18,20,large,higher_in_label0(control)
