Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
NOTCH2 Activation and Transmission of Signal to the Nucleus,2.622867089691254e-06,3.125399998400872e-08,1.0,0.20438356963683854,-0.0021407464121896997,0.20224282322464884,21,21,large,higher_in_label1(disease)
Defective pyroptosis,2.622867089691254e-06,3.125399998400872e-08,1.0,0.17794219233415953,-0.1765578899957086,0.00138430233845095,21,21,large,higher_in_label1(disease)
Signaling by NOTCH2,2.622867089691254e-06,3.606584339487081e-08,0.9954648526077097,0.19713007503623456,-0.1961232466776236,0.00100682835861095,21,21,large,higher_in_label1(disease)
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,2.622867089691254e-06,4.1592917702851843e-08,0.9909297052154196,0.055581096379871756,-0.0007591508211692,0.05482194555870255,21,21,large,higher_in_label1(disease)
PI3K Cascade,2.622867089691254e-06,4.1592917702851843e-08,0.9909297052154196,0.11426276842183004,-0.11372823101702084,0.0005345374048092,21,21,large,higher_in_label1(disease)
NOTCH2 intracellular domain regulates transcription,2.622867089691254e-06,4.793751861054512e-08,0.9863945578231292,0.14522084095097706,-0.14447104154874946,0.0007497994022276,21,21,large,higher_in_label1(disease)
CTNNB1 S37 mutants aren't phosphorylated,2.622867089691254e-06,4.793751861054512e-08,0.9863945578231292,0.10472953074990211,-0.0015487663085902,0.10318076444131191,21,21,large,higher_in_label1(disease)
Signaling by FGFR2 in disease,3.0429548739425677e-06,6.356041512151577e-08,0.9773242630385488,0.1314891198576322,-0.131053003613615,0.00043611624401719996,21,21,large,higher_in_label1(disease)
Diseases of DNA repair,3.11170289709411e-06,7.3120955806389e-08,0.9727891156462585,0.0955842114150446,-0.0011555891554305,0.0944286222596141,21,21,large,higher_in_label1(disease)
RHOBTB GTPase Cycle,3.4822898405856022e-06,9.659430797986177e-08,0.963718820861678,0.15664943060230152,-0.15518036366199256,0.00146906694030895,21,21,large,higher_in_label1(disease)
HIV Transcription Elongation,3.4822898405856022e-06,1.1091906589680546e-07,-0.9591836734693877,-0.047355628279433626,-5.30808139908733e-05,-0.0474087090934245,21,21,large,higher_in_label0(control)
RHOJ GTPase cycle,3.4822898405856022e-06,1.1091906589680546e-07,0.9591836734693877,0.19862284335817948,-0.0014140293333314,0.19720881402484808,21,21,large,higher_in_label1(disease)
Budding and maturation of HIV virion,3.4822898405856022e-06,1.2728996806318129e-07,0.9546485260770976,0.10982666826475879,-0.0010942758600962,0.10873239240466259,21,21,large,higher_in_label1(disease)
Tat-mediated HIV elongation arrest and recovery,3.4822898405856022e-06,1.2728996806318129e-07,0.9546485260770976,0.1008253847088583,-0.0996923075010483,0.0011330772078099998,21,21,large,higher_in_label1(disease)
Degradation of GLI2 by the proteasome,3.7275462240946986e-06,1.4598745002981848e-07,0.9501133786848073,0.12482286453991526,-0.1241705045521943,0.00065235998772095,21,21,large,higher_in_label1(disease)
Signaling by KIT in disease,5.2524175271176356e-06,2.1942214212501873e-07,0.9365079365079365,0.06787088264166555,-0.0677838687919455,8.701384972004535e-05,21,21,large,higher_in_label1(disease)
TNFR1-induced NF-kappa-B signaling pathway,5.341487519743548e-06,2.5103596698533647e-07,0.9319727891156462,0.1119596513005666,-0.00159803570786455,0.11036161559270205,21,21,large,higher_in_label1(disease)
Interactions of Vpr with host cellular proteins,5.341487519743548e-06,2.5103596698533647e-07,0.9319727891156462,0.1259724216522425,-0.00031737803752115003,0.12565504361472135,21,21,large,higher_in_label1(disease)
Translation of Replicase and Assembly of the Replication Transcription Complex,6.611398229174236e-06,3.279805910034216e-07,0.9229024943310657,0.034351365327883396,-0.0004582301521346,0.033893135175748795,21,21,large,higher_in_label1(disease)
Glucagon-type ligand receptors,7.172552893060098e-06,3.7454584297963954e-07,0.9183673469387754,0.1810881174012398,-0.0015713659538184,0.1795167514474214,21,21,large,higher_in_label1(disease)
Regulation of RAS by GAPs,8.487828311930061e-06,4.875514957244422e-07,-0.909297052154195,-0.07578602173794195,0.0006929284142259001,-0.07509309332371605,21,21,large,higher_in_label0(control)
Signaling by RAS mutants,8.487828311930061e-06,4.875514957244422e-07,0.909297052154195,0.03067123986759975,-0.03070700900021895,-3.5769132619202386e-05,21,21,large,higher_in_label1(disease)
PI3K/AKT Signaling in Cancer,8.868840528012479e-06,5.557497980999986e-07,0.9047619047619047,0.130129591667971,0.000224047646702,0.130353639314673,21,21,large,higher_in_label1(disease)
Downstream signaling of activated FGFR3,8.868840528012479e-06,5.557497980999986e-07,0.9047619047619047,0.0968089966760552,-0.0961895592522638,0.0006194374237914,21,21,large,higher_in_label1(disease)
APC truncation mutants have impaired AXIN binding,9.699091156392447e-06,6.330999449342329e-07,0.9002267573696145,0.06856282074100249,-0.0682274437393826,0.0003353770016199,21,21,large,higher_in_label1(disease)
Late SARS-CoV-2 Infection Events,1.0224320727896353e-05,7.207745682851216e-07,0.8956916099773242,0.1733169375731872,-0.1712969252062261,0.0020200123669611,21,21,large,higher_in_label1(disease)
SHC-mediated cascade:FGFR4,1.0224320727896353e-05,7.207745682851216e-07,0.8956916099773242,0.02145663638680525,-0.0005174610177568,0.02093917536904845,21,21,large,higher_in_label1(disease)
SARS-CoV-1-host interactions,1.1217644404571814e-05,8.200888859739185e-07,0.8911564625850341,0.10022891612387401,-0.09909403730890301,0.001134878814971,21,21,large,higher_in_label1(disease)
Competing endogenous RNAs (ceRNAs) regulate PTEN translation,1.589471140632358e-05,1.2035160072673208e-06,0.8775510204081634,0.010653499222181001,-0.0004987261790398,0.010154773043141201,21,21,large,higher_in_label1(disease)
Impaired BRCA2 binding to PALB2,1.6876732691516612e-05,1.3660018627598302e-06,0.873015873015873,0.0572326610129029,-0.0005252782793805,0.056707382733522396,21,21,large,higher_in_label1(disease)
"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",1.6876732691516612e-05,1.3660018627598302e-06,-0.873015873015873,-0.05047115154344585,0.00020838840932855,-0.0502627631341173,21,21,large,higher_in_label0(control)
Signaling by SCF-KIT,1.7454413311448064e-05,1.5494779440972171e-06,0.8684807256235827,0.0726252850205984,-0.07281846805089805,-0.00019318303029965,21,21,large,higher_in_label1(disease)
RHO GTPases activate PAKs,1.7454413311448064e-05,1.5494779440972171e-06,0.8684807256235827,0.06186267833220595,-0.06086958886662585,0.0009930894655801,21,21,large,higher_in_label1(disease)
WNT5A-dependent internalization of FZD4,1.7454413311448064e-05,1.5494779440972171e-06,0.8684807256235827,0.025544264520484798,-0.0002587017861877,0.0252855627342971,21,21,large,higher_in_label1(disease)
Induction of Cell-Cell Fusion,3.5657741263233786e-05,3.2585403243164036e-06,0.8412698412698412,0.0618553021233151,-0.0613215496808304,0.0005337524424847,21,21,large,higher_in_label1(disease)
