Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
Signaling by ALK in cancer,0.00048420155059957827,1.2642338135759223e-06,0.7399577167019027,0.1447939748719426,-0.14362961011769648,0.0011643647542461,22,43,large,higher_in_label1(disease)
PI-3K cascade:FGFR4,0.0006758354438857831,3.529166808803045e-06,0.7082452431289641,0.03396625522902477,-0.000713174929896125,0.03325308029912865,22,43,large,higher_in_label1(disease)
Defective pyroptosis,0.0007658351143983702,5.998708467872351e-06,0.6913319238900635,0.13369269473006073,-0.13273882586223285,0.0009538688678279,22,43,large,higher_in_label1(disease)
Signaling by FGFR2 in disease,0.0010285865329704453,1.0742418098908046e-05,0.6723044397463003,0.1198946813712045,-0.1195874094478689,0.0003072719233356,22,43,large,higher_in_label1(disease)
TNF signaling,0.001067762892362845,1.672735601612812e-05,-0.6575052854122622,-0.047703391131941275,0.046609190858128174,-0.0010942002738130998,22,43,large,higher_in_label0(control)
G beta:gamma signalling through CDC42,0.001067762892362845,1.672735601612812e-05,0.657505285412262,0.0415050913105912,-0.0412471206577601,0.0002579706528311,22,43,large,higher_in_label1(disease)
Signaling by FLT3 ITD and TKD mutants,0.0012357814359883945,2.4274905353053172e-05,0.6448202959830867,0.017107991583206375,-0.017018441471109726,8.95501120966503e-05,22,43,large,higher_in_label1(disease)
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,0.0012357814359883945,2.5812667070253672e-05,0.642706131078224,0.01036471898232445,-0.00018701181096005,0.0101777071713644,22,43,large,higher_in_label1(disease)
Negative regulation of MET activity,0.002275762841163031,6.344384450699408e-05,0.6109936575052854,0.044899293548376025,-0.04468405873570502,0.000215234812671,22,43,large,higher_in_label1(disease)
Signaling by AMER1 mutants,0.002275762841163031,6.344384450699408e-05,-0.6109936575052854,-0.017593168899311482,0.01753299978731075,-6.0169112000733774e-05,22,43,large,higher_in_label0(control)
NOTCH2 intracellular domain regulates transcription,0.002275762841163031,6.726501749641121e-05,0.6088794926004228,0.12755229862358966,-0.12674415568713682,0.00080814293645285,22,43,large,higher_in_label1(disease)
Nuclear import of Rev protein,0.002275762841163031,7.130327439675292e-05,0.6067653276955602,0.18863664536768965,-0.18709228794261845,0.0015443574250712,22,43,large,higher_in_label1(disease)
p75 NTR receptor-mediated signalling,0.002724161082888437,0.00010077697807295512,-0.5940803382663848,-0.0007225755620160652,0.0007661314454424,4.355588342633477e-05,22,43,large,higher_in_label0(control)
RHOBTB GTPase Cycle,0.002724161082888437,0.00010669038183636177,0.5919661733615222,0.14848677795852436,-0.14698728499024055,0.0014994929682838,22,43,large,higher_in_label1(disease)
Infection with Mycobacterium tuberculosis,0.002724161082888437,0.00010669038183636177,-0.5919661733615222,-0.011148354422798715,0.011159101216608425,1.0746793809709727e-05,22,43,large,higher_in_label0(control)
RHO GTPases activate CIT,0.0032023310243009203,0.00013377884174625254,0.5835095137420718,0.04986623694276762,-0.000646168055940425,0.0492200688868272,22,43,large,higher_in_label1(disease)
Signaling by KIT in disease,0.0033664927433209204,0.00014963826809222293,0.5792811839323466,0.09539617029377068,-0.09508721434238687,0.0003089559513838,22,43,large,higher_in_label1(disease)
G alpha (12/13) signalling events,0.0033664927433209204,0.00015821636913779783,0.5771670190274842,0.08782768471200761,-0.0016685147195362,0.0861591699924714,22,43,large,higher_in_label1(disease)
Insulin receptor recycling,0.003577430236202787,0.00018681097839179042,0.5708245243128964,0.0555203113072027,-0.00033816504456280004,0.0551821462626399,22,43,large,higher_in_label1(disease)
SHC-mediated cascade:FGFR4,0.003577430236202787,0.00018681097839179042,0.5708245243128964,0.01519041579560025,-0.00086646507446735,0.0143239507211329,22,43,large,higher_in_label1(disease)
PKA-mediated phosphorylation of CREB,0.004241067372074289,0.0002325389420719584,-0.562367864693446,-0.03850407017908065,0.00040336516767725,-0.0381007050114034,22,43,large,higher_in_label0(control)
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.004806124891117757,0.0002886184660462361,-0.5539112050739958,-0.0043822204829313,0.004339066974962049,-4.315350796925101e-05,22,43,large,higher_in_label0(control)
Signaling by Insulin receptor,0.004806124891117757,0.0002886184660462361,0.5539112050739958,0.0066937897852612244,-0.000159775281451025,0.0065340145038102,22,43,large,higher_in_label1(disease)
Formation of the beta-catenin:TCF transactivating complex,0.0048592730251161495,0.00030449752637803543,0.5517970401691332,0.035459524973341795,-0.0008542778260553999,0.0346052471472864,22,43,large,higher_in_label1(disease)
G beta:gamma signalling through PI3Kgamma,0.006459110611156652,0.0004407504570852933,-0.5369978858350951,-0.04273661888087647,0.04250603811557632,-0.00023058076530015,22,43,large,higher_in_label0(control)
Peptide ligand-binding receptors,0.006459110611156652,0.0004643246264159139,0.5348837209302326,0.02450756090221265,-0.02437796957404825,0.0001295913281644,22,43,large,higher_in_label1(disease)
HCMV Late Events,0.006459110611156652,0.0004890710384426708,0.53276955602537,0.026717809392435753,-0.025930191363831553,0.0007876180286042,22,43,large,higher_in_label1(disease)
FCGR3A-mediated IL10 synthesis,0.006459110611156652,0.0004890710384426708,-0.53276955602537,-0.005553200737823075,0.000619582985291375,-0.0049336177525317,22,43,large,higher_in_label0(control)
PI-3K cascade:FGFR1,0.006459110611156652,0.0004890710384426708,0.53276955602537,0.03094705169616355,-0.03069286904890095,0.0002541826472626,22,43,large,higher_in_label1(disease)
Signaling by Hippo,0.00692331151868198,0.0005422959414111212,0.5285412262156448,0.04929928147397104,-0.0006657041752189501,0.0486335772987521,22,43,large,higher_in_label1(disease)
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",0.008646867670425206,0.0006998770177106563,-0.5179704016913319,-0.0035052658498066,0.00020969784224115,-0.00329556800756545,22,43,large,higher_in_label0(control)
Signaling by Activin,0.008810326561134469,0.000736110835395047,-0.5158562367864694,-0.00016394247283901397,9.721150454618299e-05,-6.673096829283099e-05,22,43,large,higher_in_label0(control)
Downregulation of ERBB2 signaling,0.00910192480806331,0.0008138620535674188,0.5116279069767442,0.01486873160366045,-0.00033664171476165,0.0145320898888988,22,43,large,higher_in_label1(disease)
Diseases of Immune System,0.00910192480806331,0.0008138620535674188,-0.5116279069767442,-0.013302849804489099,0.013210643452118575,-9.22063523705236e-05,22,43,large,higher_in_label0(control)
Neurodegenerative Diseases,0.00910192480806331,0.0008555334023244886,-0.5095137420718816,-0.0436295456712602,0.0435153215456377,-0.0001142241256225,22,43,large,higher_in_label0(control)
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,0.00910192480806331,0.0008555334023244886,0.5095137420718816,0.0479262989448619,-0.0476236215509021,0.0003026773939598,22,43,large,higher_in_label1(disease)
Parasite infection,0.01000553969144512,0.0009927167317882886,0.5031712473572938,0.07693910768046491,-0.0006627288201359,0.07627637886032901,22,43,large,higher_in_label1(disease)
Signalling to ERKs,0.01000553969144512,0.0009927167317882886,-0.5031712473572938,-0.06725726176860487,0.001357508158342775,-0.0658997536102621,22,43,large,higher_in_label0(control)
Diseases of DNA repair,0.01048652409816729,0.0010951983392341817,0.4989429175475688,0.05945703980856468,-0.000369318552928075,0.059087721255636605,22,43,large,higher_in_label1(disease)
Interactions of Vpr with host cellular proteins,0.01048652409816729,0.0010951983392341817,0.4989429175475688,0.05381401971762945,-0.0003592099014863,0.053454809816143145,22,43,large,higher_in_label1(disease)
Signaling by FGFR1 in disease,0.011278782779681267,0.0012073892792870285,-0.4947145877378436,-0.021447817014133723,0.000591874622720025,-0.0208559423914137,22,43,large,higher_in_label0(control)
PKA activation,0.012727481585428998,0.0013957029414830755,-0.4883720930232558,-0.03446121268247787,0.03441289911698947,-4.831356548840253e-05,22,43,large,higher_in_label0(control)
Diseases associated with the TLR signaling cascade,0.013411489970544468,0.001535912234953083,0.4841437632135306,0.01100237647421346,-0.01097246663142055,2.9909842792909105e-05,22,43,large,higher_in_label1(disease)
Maturation of spike protein,0.013411489970544468,0.0016107794742690484,0.482029598308668,0.006240692383534083,9.256349450526718e-05,0.00633325587803935,22,43,large,higher_in_label1(disease)
Translation of Replicase and Assembly of the Replication Transcription Complex,0.013411489970544468,0.0016107794742690484,0.482029598308668,0.008924842347039899,-0.00030117889756875,0.00862366344947115,22,43,large,higher_in_label1(disease)
Maturation of hRSV A proteins,0.013411489970544468,0.0016107794742690484,0.482029598308668,0.0335298458930824,-0.03353819821597577,-8.352322893366246e-06,22,43,large,higher_in_label1(disease)
