Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
RHOH GTPase cycle,2.190474157669406e-09,6.012468302980005e-12,0.8763982102908277,0.1146750959999157,-0.1142885613174974,0.0003865346824183,24,149,large,higher_in_label1(disease)
RHO GTPases activate PAKs,2.190474157669406e-09,1.1438507350754078e-11,0.8646532438478747,0.10860356111686728,-0.10826572537127868,0.0003378357455886,24,149,large,higher_in_label1(disease)
Signaling by PTK6,3.2772902698136755e-07,2.567068096459798e-09,0.7589485458612975,0.05994961571012859,-0.059664459761101796,0.0002851559490268,24,149,large,higher_in_label1(disease)
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,1.0200510672353047e-06,1.0653274853632427e-08,0.7287472035794182,0.15588653405879394,-0.1556064010764346,0.00028013298235935,24,149,large,higher_in_label1(disease)
Signaling by TGFBR3,1.3289633358741469e-06,1.7349390807756487e-08,0.7181208053691275,0.0008872888232457043,-0.00089321964697685,-5.93082373114571e-06,24,149,large,higher_in_label1(disease)
Late SARS-CoV-2 Infection Events,1.4155167113952146e-06,2.352539754098632e-08,0.7114093959731544,0.30344509210485454,-0.3017259625333991,0.00171912957145545,24,149,large,higher_in_label1(disease)
WNT5A-dependent internalization of FZD4,1.4155167113952146e-06,3.344636270361669e-08,0.703579418344519,0.0030432170557314,-0.00035586281215110004,0.0026873542435803,24,149,large,higher_in_label1(disease)
Negative regulation of the PI3K/AKT network,1.4155167113952146e-06,3.604845107592598e-08,-0.7019015659955257,-0.03554311742355577,0.0355287668300466,-1.4350593509173335e-05,24,149,large,higher_in_label0(control)
Degradation of GLI2 by the proteasome,1.4155167113952146e-06,3.604845107592598e-08,0.7019015659955257,0.20874338017753932,-0.2082867236102456,0.0004566565672937,24,149,large,higher_in_label1(disease)
Impaired BRCA2 binding to PALB2,1.4155167113952146e-06,3.695866087193771e-08,-0.7013422818791946,-0.055685725368028696,0.055491654588764,-0.00019407077926469999,24,149,large,higher_in_label0(control)
Signaling by FGFR in disease,1.8663352152405038e-06,5.3602316886802984e-08,-0.6929530201342282,-0.023556541185614104,0.02358216366522265,2.5622479608548324e-05,24,149,large,higher_in_label0(control)
Induction of Cell-Cell Fusion,2.411303837594212e-06,7.554998968963588e-08,0.6851230425055927,0.11560410258328399,-0.1154616019655724,0.0001425006177116,24,149,large,higher_in_label1(disease)
RAC2 GTPase cycle,4.586884391887075e-06,1.556905929361148e-07,0.66834451901566,0.01533573791896305,-0.0009231047755921501,0.0144126331433709,24,149,large,higher_in_label1(disease)
Hh mutants abrogate ligand secretion,7.68136218280609e-06,2.807808630790738e-07,0.6543624161073827,0.010471567867252203,-0.001044047836018125,0.009427520031234078,24,149,large,higher_in_label1(disease)
Truncations of AMER1 destabilize the destruction complex,7.688944827811253e-06,3.0113360944430495e-07,0.6526845637583893,0.028365018223205973,-0.028328792633583323,3.622558962265033e-05,24,149,large,higher_in_label1(disease)
Tat-mediated HIV elongation arrest and recovery,1.1536853927487766e-05,5.004971087180588e-07,0.640380313199105,0.10308730616761277,-0.10252419983443017,0.0005631063331826,24,149,large,higher_in_label1(disease)
Formation of HIV elongation complex in the absence of HIV Tat,1.1536853927487766e-05,5.120796782435823e-07,0.6398210290827739,0.05981727244964656,-0.059807792001384544,9.480448262019647e-06,24,149,large,higher_in_label1(disease)
Constitutive Signaling by AKT1 E17K in Cancer,1.3996669269817576e-05,6.578069108530453e-07,0.633668903803132,0.050084122900829725,-0.0012901902180195248,0.0487939326828102,24,149,large,higher_in_label1(disease)
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1.8589796643690598e-05,9.222092329768182e-07,0.6252796420581654,0.007509309946756151,-0.0005469366522092,0.006962373294546951,24,149,large,higher_in_label1(disease)
Downregulation of ERBB2 signaling,3.4276685330122494e-05,1.7899052391708873e-06,0.6085011185682327,0.011169985480339775,-0.000454665003007075,0.0107153204773327,24,149,large,higher_in_label1(disease)
DAG and IP3 signaling,3.71994551159285e-05,2.0396568079229727e-06,-0.6051454138702461,-0.02039912891220635,0.02025656252214645,-0.0001425663900599,24,149,large,higher_in_label0(control)
SARS-CoV-1-host interactions,5.461648516693237e-05,3.1372393568472903e-06,0.5939597315436242,0.12392982479008255,-0.12320575186131225,0.0007240729287703,24,149,large,higher_in_label1(disease)
Glucagon-type ligand receptors,6.740056505803634e-05,4.047553515234559e-06,0.587248322147651,0.042220032373643704,-0.0011893478580723,0.0410306845155714,24,149,large,higher_in_label1(disease)
Constitutive Signaling by NOTCH1 PEST Domain Mutants,9.04153334577695e-05,5.901784168261717e-06,-0.5771812080536913,-0.010808420344673626,0.001017094586819825,-0.0097913257578538,24,149,large,higher_in_label0(control)
Signaling by BRAF and RAF1 fusions,9.04153334577695e-05,5.901784168261717e-06,-0.5771812080536913,-0.0012787015201380656,0.001317978512086725,3.927699194865947e-05,24,149,large,higher_in_label0(control)
Signaling by NTRK2 (TRKB),9.845224581630931e-05,6.683442274736403e-06,0.5738255033557047,0.05453062789565185,-0.05436262981784375,0.0001679980778081,24,149,large,higher_in_label1(disease)
SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.00011376015071221339,8.553907781247627e-06,0.5671140939597314,0.015022713954709551,-0.00106879507738105,0.0139539188773285,24,149,large,higher_in_label1(disease)
Diseases of glycosylation,0.00011376015071221339,8.730570503581486e-06,-0.5665548098434005,-0.05782638986844425,0.05772149801543435,-0.0001048918530099,24,149,large,higher_in_label0(control)
Signaling by ALK fusions and activated point mutants,0.00011376015071221339,8.730570503581486e-06,-0.5665548098434005,-0.0072032530317804495,0.0007762165329732,-0.0064270364988072495,24,149,large,higher_in_label0(control)
Defective GALNT3 causes HFTC,0.00011376015071221339,8.910716765969717e-06,-0.5659955257270693,-0.0003747996264449593,0.00041137155874590003,3.657193230094072e-05,24,149,large,higher_in_label0(control)
NRAGE signals death through JNK,0.00015534945000025932,1.257397637077817e-05,-0.5564876957494407,-0.009907490666685096,0.00984092917915515,-6.656148752994534e-05,24,149,large,higher_in_label0(control)
WNT ligand biogenesis and trafficking,0.00020302883805113,1.6963244954663602e-05,-0.5480984340044743,-0.00054589298352655,0.0003364183054618,-0.00020947467806474999,24,149,large,higher_in_label0(control)
"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",0.00022823570794891837,2.0261133342723823e-05,0.5430648769574944,0.001572850998740659,-0.00075015048772825,0.0008227005110124089,24,149,large,higher_in_label1(disease)
Ca2+ pathway,0.00022823570794891837,2.0261133342723823e-05,-0.5430648769574944,-0.014048891328567625,0.001543928601725625,-0.012504962726842,24,149,large,higher_in_label0(control)
Impaired BRCA2 binding to RAD51,0.0002644231885050948,2.4163998949551743e-05,0.5380313199105144,0.002097226945419159,-0.0003702177569982,0.001727009188420959,24,149,large,higher_in_label1(disease)
Diseases of mitotic cell cycle,0.0002865635041644801,2.715260104001759e-05,-0.534675615212528,-0.023525060149605787,0.02351764826965925,-7.41187994653691e-06,24,149,large,higher_in_label0(control)
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.0002865635041644801,2.768368055897066e-05,0.5341163310961969,0.0423733113515652,-0.042567131928687996,-0.0001938205771228,24,149,large,higher_in_label1(disease)
"Respiratory syncytial virus (RSV) genome replication, transcription and translation",0.00033831585625795674,3.3566586260580565e-05,-0.5285234899328859,-0.04174581167461408,0.041647205041143345,-9.860663347073482e-05,24,149,large,higher_in_label0(control)
Insulin receptor recycling,0.00034251683344443983,3.487769322280197e-05,0.5274049217002237,0.013297406937757399,-0.000229920468002,0.0130674864697554,24,149,large,higher_in_label1(disease)
RHO GTPases activate PKNs,0.000360472085578449,3.764721520401556e-05,-0.5251677852348993,-0.00253647462259925,0.00088246447689765,-0.0016540101457016,24,149,large,higher_in_label0(control)
GLI3 is processed to GLI3R by the proteasome,0.0006032428671749035,6.493789954176493e-05,0.5089485458612975,0.04043035212543354,-0.04025995856767704,0.0001703935577565,24,149,large,higher_in_label1(disease)
Budding and maturation of HIV virion,0.0006032428671749035,6.615195932466305e-05,0.5083892617449663,0.055189684972254224,-0.000578102840580425,0.0546115821316738,24,149,large,higher_in_label1(disease)
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.0006289674889453711,7.389957441916893e-05,0.5050335570469799,0.15880566488730066,-0.16241392608408187,-0.003608261196781216,24,149,large,higher_in_label1(disease)
RHO GTPases Activate NADPH Oxidases,0.0006289674889453711,7.389957441916893e-05,-0.5050335570469799,-0.01058416210879424,0.01061285728194345,2.8695173149209108e-05,24,149,large,higher_in_label0(control)
Signalling to ERKs,0.0006289674889453711,7.389957441916893e-05,-0.5050335570469799,-0.05579521127078685,0.0020406452390090498,-0.0537545660317778,24,149,large,higher_in_label0(control)
RHO GTPases activate IQGAPs,0.0008390823179353849,0.00010077751077030733,-0.4955257270693513,-0.0011543676853730499,0.00087821063253065,-0.0002761570528424,24,149,large,higher_in_label0(control)
Defective GALNT12 causes CRCS1,0.0008514569676792653,0.00010448688637317355,-0.49440715883668906,-0.01773116398352819,0.017679337626168898,-5.1826357359293756e-05,24,149,large,higher_in_label0(control)
Signaling by NOTCH4,0.0009263116929501437,0.00011640324942640064,-0.49105145413870244,-0.00158714883332265,0.00170221536129765,0.000115066527975,24,149,large,higher_in_label0(control)
G alpha (s) signalling events,0.0009263116929501437,0.0001185098510562847,-0.49049217002237133,-0.01332573159696885,0.001317350522908,-0.01200838107406085,24,149,large,higher_in_label0(control)
Signaling by EGFR,0.000975126614793984,0.00012730112464673422,-0.488255033557047,-0.038767777773194075,0.038729057529126525,-3.87202440675517e-05,24,149,large,higher_in_label0(control)
Hedgehog ligand biogenesis,0.0009907223927780842,0.00013192386953441853,0.4871364653243848,0.1717237481555503,-0.1711410532821504,0.0005826948733999,24,149,large,higher_in_label1(disease)
Signaling by FGFR2 IIIa TM,0.0010249338763774652,0.00013915551324184908,-0.4854586129753915,-0.003868672025401313,0.0038923582097280997,2.368618432678687e-05,24,149,large,higher_in_label0(control)
Diseases of DNA Double-Strand Break Repair,0.0010419212706086942,0.00014418231682052427,0.4843400447427293,0.025415364902340594,-0.0253753870674251,3.997783491549277e-05,24,149,large,higher_in_label1(disease)
The role of Nef in HIV-1 replication and disease pathogenesis,0.0010783872375464405,0.00015204415359662608,-0.482662192393736,-0.02174603199236672,0.02169129033820445,-5.4741654162268594e-05,24,149,large,higher_in_label0(control)
Signaling by KIT in disease,0.0012403655812218465,0.00017812038372637482,0.47762863534675626,0.08287485310038928,-0.08286721855733994,7.634543049338092e-06,24,149,large,higher_in_label1(disease)
CTNNB1 S37 mutants aren't phosphorylated,0.0013293438592065039,0.00019436881492314418,0.47483221476510074,0.012737610920239275,-0.001067346055275975,0.0116702648649633,24,149,large,higher_in_label1(disease)
G alpha (z) signalling events,0.0014245082024882815,0.0002120025262188826,0.4720357941834452,0.09062224862693723,-0.09053189126347172,9.035736346551181e-05,24,149,medium,higher_in_label1(disease)
RHO GTPases Activate ROCKs,0.001526257622815909,0.00023113039718883216,0.4692393736017897,0.0274386820993477,-0.02752349520117065,-8.481310182295381e-05,24,149,medium,higher_in_label1(disease)
Hedgehog 'off' state,0.0015264522803490996,0.00023514539044542263,0.4686800894854586,0.019104063327425983,-0.019068467619589,3.5595707836984204e-05,24,149,medium,higher_in_label1(disease)
NS1 Mediated Effects on Host Pathways,0.0016637722272957246,0.00026064316876695426,-0.46532438478747207,-0.005911289902285659,4.0162607028858656e-05,-0.0058711272952568,24,149,medium,higher_in_label0(control)
Degradation of beta-catenin by the destruction complex,0.0016647122738360923,0.00026513694178590503,-0.46476510067114096,-0.0003775615350681,0.00024786950894565,-0.00012969202612245,24,149,medium,higher_in_label0(control)
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",0.002042052681568595,0.0003305672748231146,-0.4574944071588367,-0.00121540539790915,0.00019509341570605,-0.0010203119822031,24,149,medium,higher_in_label0(control)
APC truncation mutants have impaired AXIN binding,0.002043765569333818,0.00033618075944655485,0.4569351230425056,0.04845908723442421,-0.048405773820359925,5.33134140642815e-05,24,149,medium,higher_in_label1(disease)
Deactivation of the beta-catenin transactivating complex,0.0023391201715067087,0.00039087125581313147,-0.4519015659955258,-0.05694083420052187,0.056939765158546575,-1.0690419752980846e-06,24,149,medium,higher_in_label0(control)
Infection with Mycobacterium tuberculosis,0.00234181742161185,0.0003974363770359536,-0.4513422818791947,-0.009790334553884604,0.00982294112299695,3.260656911234549e-05,24,149,medium,higher_in_label0(control)
Signaling by Retinoic Acid,0.0034809651213306143,0.0006089416791883842,-0.4368008948545862,-0.011645705269668525,0.000657566978086725,-0.0109881382915818,24,149,medium,higher_in_label0(control)
Phospholipase C-mediated cascade; FGFR2,0.0034809651213306143,0.0006089416791883842,-0.4368008948545862,-0.0032983496346650756,7.249633366537551e-05,-0.0032258533009997,24,149,medium,higher_in_label0(control)
Constitutive Signaling by EGFRvIII,0.0036584830965046716,0.0006495479126953464,0.43456375838926165,0.012918667378891238,-0.012968603426309101,-4.993604741786299e-05,24,149,medium,higher_in_label1(disease)
HCMV Infection,0.004033848793624746,0.0007267247173893147,-0.430648769574944,-0.0054394608046707,0.00581158440988335,0.00037212360521265,24,149,medium,higher_in_label0(control)
RSV-host interactions,0.00451567322411004,0.0008253188660253337,0.4261744966442953,0.00915965674240342,-0.00031271277115855003,0.00884694397124487,24,149,medium,higher_in_label1(disease)
RHOBTB3 ATPase cycle,0.004523069573125579,0.0008384802602922093,0.4256152125279642,0.008083812996843267,-8.906570333131554e-05,0.00799474729351195,24,149,medium,higher_in_label1(disease)
Negative regulation of NOTCH4 signaling,0.004676545234404512,0.0008791416628645557,0.4239373601789709,0.014225476198730122,-0.01421571915201655,9.75704671357065e-06,24,149,medium,higher_in_label1(disease)
InlB-mediated entry of Listeria monocytogenes into host cell,0.00475999108116593,0.0009072567857052556,-0.42281879194630867,-0.0715322282991008,0.0712631256085678,-0.000269102690533,24,149,medium,higher_in_label0(control)
RHOBTB1 GTPase cycle,0.005078531336180852,0.0009812305975910784,-0.42002237136465326,-0.05527214520300587,0.05497612539178637,-0.0002960198112195,24,149,medium,higher_in_label0(control)
NOTCH3 Activation and Transmission of Signal to the Nucleus,0.005416927781023928,0.0010607560928898032,0.41722595078299785,0.013083433133941851,-0.00031231937475885,0.012771113759183,24,149,medium,higher_in_label1(disease)
Serotonin receptors,0.0054293276261644045,0.0010773600511448948,-0.41666666666666663,-0.001249192483062804,0.001245804995020675,-3.3874880421289123e-06,24,149,medium,higher_in_label0(control)
Signaling by AMER1 mutants,0.005971267025427217,0.0012004897152947669,-0.412751677852349,-0.006198793960620699,0.0061654743961782246,-3.331956444247432e-05,24,149,medium,higher_in_label0(control)
Export of Viral Ribonucleoproteins from Nucleus,0.006562599000530705,0.001336508412640718,-0.4088366890380313,-0.005644166059990119,5.365939624190916e-07,-0.0056436294660277,24,149,medium,higher_in_label0(control)
Signaling by Non-Receptor Tyrosine Kinases,0.006579169305276814,0.001357061031636732,0.40827740492170017,0.0006097106524927,-0.0003799669886255,0.0002297436638672,24,149,medium,higher_in_label1(disease)
Signaling by NOTCH2,0.00711720969107772,0.00148662343416767,0.40492170022371354,0.2060461883956837,-0.2058065164381484,0.00023967195753529997,24,149,medium,higher_in_label1(disease)
Signalling to RAS,0.00758055060259422,0.0016031973859272372,-0.40212527964205813,-0.01634796282931022,0.01633944413089705,-8.518698413166595e-06,24,149,medium,higher_in_label0(control)
Energy dependent regulation of mTOR by LKB1-AMPK,0.00807165042968426,0.00172813403455381,-0.3993288590604027,-0.012150211453341563,0.012134174265787325,-1.603718755423815e-05,24,149,medium,higher_in_label0(control)
Defective homologous recombination repair (HRR) due to PALB2 loss of function,0.008465053520474492,0.0018344632955597463,0.3970917225950783,0.01705783656421195,-0.01701778168236485,4.0054881847101235e-05,24,149,medium,higher_in_label1(disease)
Effects of PIP2 hydrolysis,0.009279146187882894,0.0020351130020422013,0.39317673378076057,0.048177563979257564,-0.0481583105866137,1.925339264386655e-05,24,149,medium,higher_in_label1(disease)
TNFR1-induced proapoptotic signaling,0.011587011899469311,0.0025715300560179935,-0.3842281879194631,-0.00022730283025135928,0.0001471101780066,-8.019265224475927e-05,24,149,medium,higher_in_label0(control)
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),0.012309311754536359,0.0027639707856139083,0.3814317673378076,0.00993217660631545,-0.00014821402867875,0.0097839625776367,24,149,medium,higher_in_label1(disease)
Nuclear import of Rev protein,0.015282699949368138,0.003471527142545765,0.37248322147651014,0.1091271092865442,-0.1088070203690733,0.0003200889174709,24,149,medium,higher_in_label1(disease)
Disorders of Developmental Biology,0.015323476923487215,0.0035207988753704306,-0.3719239373601789,-0.01041580826907059,0.010356026465299126,-5.978180377146406e-05,24,149,medium,higher_in_label0(control)
HCMV Early Events,0.016298904684658177,0.003830029821460146,-0.3685682326621924,-0.00023008904304464174,0.00019813602425589998,-3.195301878874176e-05,24,149,medium,higher_in_label0(control)
Signaling by Erythropoietin,0.016298904684658177,0.003830029821460146,0.3685682326621924,0.00924228422510685,-0.0004452930721851,0.00879699115292175,24,149,medium,higher_in_label1(disease)
Signaling by ERBB2 TMD/JMD mutants,0.016576180297872656,0.003938465814899247,-0.3674496644295302,-0.007803616331549797,0.007820796684974124,1.718035342432637e-05,24,149,medium,higher_in_label0(control)
NOTCH1 Intracellular Domain Regulates Transcription,0.016626041473208238,0.00399372275596647,0.3668903803131991,0.02531577148580763,-0.0252576330688215,5.813841698613288e-05,24,149,medium,higher_in_label1(disease)
Formation of the HIV-1 Early Elongation Complex,0.01812310452414085,0.004400649401423235,-0.3629753914988815,-0.0006363012407501009,0.0006594351606562751,2.313391990617423e-05,24,149,medium,higher_in_label0(control)
FLT3 signaling in disease,0.01843137182639415,0.004523626505694648,0.36185682326621915,0.02965623243973026,-0.0296743321173102,-1.8099677579940012e-05,24,149,medium,higher_in_label1(disease)
MAPK6/MAPK4 signaling,0.019800953200707513,0.004911463587642856,0.35850111856823275,0.00185319787069755,-0.0002493232254192,0.00160387464527835,24,149,medium,higher_in_label1(disease)
VEGFR2 mediated vascular permeability,0.020616755939829482,0.005257368667793596,0.3557046979865772,0.00023845776908071678,-0.00024097079617037498,-2.5130270896581906e-06,24,149,medium,higher_in_label1(disease)
Regulation of PTEN gene transcription,0.020616755939829482,0.005329135347371067,-0.3551454138702461,-0.03808304538538751,0.03806249335599042,-2.0552029397087e-05,24,149,medium,higher_in_label0(control)
