Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
Signaling by ALK in cancer,0.00015264130106882473,4.114854153910035e-07,0.9423076923076923,0.1547290087667318,-0.1528725344339002,0.0018564743328315998,16,26,large,higher_in_label1(disease)
Signaling by PTK6,0.00015264130106882473,1.048757649042724e-06,0.9086538461538463,0.061278814026090755,-0.0599641347859932,0.00131467924009755,16,26,large,higher_in_label1(disease)
Defective CFTR causes cystic fibrosis,0.00015264130106882473,1.1956237681631179e-06,0.9038461538461537,0.35014823824748176,-0.005443464069994726,0.344704774177487,16,26,large,higher_in_label1(disease)
Degradation of GLI2 by the proteasome,0.0002731346601539633,3.3329495714442805e-06,0.8653846153846154,0.09256874714175475,-0.0912581755943045,0.00131057154745025,16,26,large,higher_in_label1(disease)
Signaling by PDGF,0.0002731346601539633,3.7776287430436627e-06,0.8605769230769231,0.05295943203783783,-0.000487687730215025,0.0524717443076228,16,26,large,higher_in_label1(disease)
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0.0002731346601539633,4.2788719606365e-06,0.8557692307692308,0.09222004054193045,-0.09183379118344322,0.000386249358487225,16,26,large,higher_in_label1(disease)
MAP2K and MAPK activation,0.00029978431756313637,5.4790867439737724e-06,0.8461538461538463,0.03304902716456863,-0.00054800855869645,0.03250101860587218,16,26,large,higher_in_label1(disease)
MAPK6/MAPK4 signaling,0.0003782543545512285,7.900874246500857e-06,0.8317307692307692,0.0327007514590709,-0.0011330868742379999,0.0315676645848329,16,26,large,higher_in_label1(disease)
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.0008674322761859604,2.0383526072254943e-05,0.7932692307692308,0.03140789340293585,-0.030822044693035698,0.00058584870990015,16,26,large,higher_in_label1(disease)
Effects of PIP2 hydrolysis,0.0008763384224914495,2.2880898759567872e-05,0.7884615384615385,0.053083621236330925,-0.05240245642488015,0.000681164811450775,16,26,large,higher_in_label1(disease)
Signaling by NTRK2 (TRKB),0.0010289612703458277,3.2238995415535066e-05,-0.7740384615384616,-0.030059613638537475,0.00074265797450235,-0.029316955664035124,16,26,large,higher_in_label0(control)
FGFR1 mutant receptor activation,0.0010289612703458277,3.2238995415535066e-05,-0.7740384615384616,-0.06739604592294325,0.0001838640644289,-0.06721218185851435,16,26,large,higher_in_label0(control)
Signaling by TGF-beta Receptor Complex,0.0014391327335015682,5.636290078987865e-05,0.75,0.25990426327198957,-0.0021243209789270252,0.25777994229306256,16,26,large,higher_in_label1(disease)
Diseases associated with the TLR signaling cascade,0.0014391327335015682,5.636290078987865e-05,0.75,0.033822510719935,-0.03353927211149405,0.00028323860844094997,16,26,large,higher_in_label1(disease)
p75NTR signals via NF-kB,0.0014391327335015682,5.636290078987865e-05,-0.75,-0.05278107555960165,0.05254884334893045,-0.0002322322106712,16,26,large,higher_in_label0(control)
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),0.0020852536625382834,8.711242454468024e-05,0.7307692307692308,0.03253401501712289,-0.032585938960265425,-5.192394314253371e-05,16,26,large,higher_in_label1(disease)
Downstream signaling of activated FGFR3,0.002702293270018004,0.00011994513208957198,0.7163461538461537,0.07864229007004918,-0.07821199111897142,0.00043029895107775,16,26,large,higher_in_label1(disease)
RSV-host interactions,0.002835670226529259,0.0001332690968081636,-0.7115384615384616,-0.012001490695324824,0.011793916797147374,-0.00020757389817745,16,26,large,higher_in_label0(control)
Signaling by FGFR1 in disease,0.002982941192529403,0.0001479788058957145,0.7067307692307692,0.05811962744197227,-0.057440100516609624,0.00067952692536265,16,26,large,higher_in_label1(disease)
Diseases of Immune System,0.004737753647713266,0.0002474022792539564,0.6826923076923077,0.05481495858063308,-0.000479825666895,0.05433513291373808,16,26,large,higher_in_label1(disease)
