Pathway,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
Signaling by PDGF,9.456932199800248e-05,2.469172898120169e-07,0.9833333333333334,0.045392654661331626,-0.000180666094377625,0.045211988566954,18,20,large,higher_in_label1(disease)
MAP2K and MAPK activation,0.00014416188530212836,1.1292053679017886e-06,0.9277777777777778,0.05350731397750385,-0.00117870414380005,0.0523286098337038,18,20,large,higher_in_label1(disease)
Formation of the beta-catenin:TCF transactivating complex,0.00014416188530212836,1.1292053679017886e-06,0.9277777777777778,0.11468325651951734,-0.001034898299234775,0.11364835822028257,18,20,large,higher_in_label1(disease)
Signaling by PTK6,0.00039578220390793287,4.133495602171623e-06,0.8777777777777778,0.07503969870678817,-0.07399568284660513,0.00104401586018305,18,20,large,higher_in_label1(disease)
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.0004597623378011467,7.2025431509318016e-06,0.8555555555555556,0.06426325689692663,-0.0633992756851483,0.0008639812117783249,18,20,large,higher_in_label1(disease)
Diseases of Immune System,0.0004597623378011467,7.2025431509318016e-06,0.8555555555555556,0.04895244622580418,-0.00037937040240915,0.048573075823395026,18,20,large,higher_in_label1(disease)
FGFR1 mutant receptor activation,0.0011502993093758889,2.1023747168749927e-05,-0.8111111111111111,-0.05134512604253805,0.00033593188693545003,-0.051009194155602594,18,20,large,higher_in_label0(control)
Hedgehog ligand biogenesis,0.0011598845230644296,2.7255772082453956e-05,-0.8,-0.05698625131704432,0.001731301402041675,-0.05525494991500265,18,20,large,higher_in_label0(control)
Signaling by ALK in cancer,0.0011598845230644296,2.7255772082453956e-05,0.8,0.11914317628529707,-0.11736551907650802,0.00177765720878905,18,20,large,higher_in_label1(disease)
Transcription of the HIV genome,0.001531500101606311,3.998694782261908e-05,0.7833333333333334,0.03977473780272427,-0.0004387756228199,0.03933596217990437,18,20,large,higher_in_label1(disease)
Regulation of KIT signaling,0.001579434326589416,4.5362343583508036e-05,0.7777777777777777,0.06933243062796247,-0.001018505912739775,0.0683139247152227,18,20,large,higher_in_label1(disease)
FGFR2 mutant receptor activation,0.0016411030922581875,5.1418373647776105e-05,0.7722222222222221,0.03834255531589322,-0.00048942939497345,0.03785312592091977,18,20,large,higher_in_label1(disease)
Effects of PIP2 hydrolysis,0.002195421682505147,7.45182294322896e-05,0.7555555555555555,0.13578319530171462,-0.13475493833785646,0.001028256963858175,18,20,large,higher_in_label1(disease)
Downregulation of ERBB2 signaling,0.0027222107922765457,0.00010720727618656437,0.7388888888888889,0.03549132313816808,-0.00040676277106745,0.03508456036710063,18,20,large,higher_in_label1(disease)
Signaling by TGF-beta Receptor Complex,0.0027222107922765457,0.00010720727618656437,0.7388888888888889,0.25958306357958444,-0.0026676061678201496,0.2569154574117643,18,20,large,higher_in_label1(disease)
Diseases of glycosylation,0.0027222107922765457,0.00012082919965718349,-0.7333333333333334,-0.056951653796371925,0.0566256574126186,-0.000325996383753325,18,20,large,higher_in_label0(control)
Signaling by Retinoic Acid,0.0027222107922765457,0.00012082919965718349,-0.7333333333333334,-0.05692236242530073,0.00049331796124935,-0.05642904446405138,18,20,large,higher_in_label0(control)
