Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
FRS3,1.498210609222994e-06,3.125399998400872e-08,1.0,0.09246719454580235,-0.0832194417354992,0.00924775281030315,21,21,large,higher_in_label1(disease)
ARHGAP33,1.498210609222994e-06,3.125399998400872e-08,1.0,0.1375526108077828,-0.133918457898353,0.0036341529094298,21,21,large,higher_in_label1(disease)
ADH1A,1.498210609222994e-06,3.125399998400872e-08,1.0,0.0972934617409502,-0.0949594647722585,0.0023339969686917003,21,21,large,higher_in_label1(disease)
ADH4,1.498210609222994e-06,3.125399998400872e-08,1.0,0.1759173882816129,-0.1724250134468404,0.0034923748347725,21,21,large,higher_in_label1(disease)
IQGAP3,1.498210609222994e-06,3.125399998400872e-08,1.0,0.18584698496451463,-0.1669966124962851,0.0188503724682295,21,21,large,higher_in_label1(disease)
CPD,1.498210609222994e-06,3.125399998400872e-08,1.0,0.0356251234482813,-0.0347092057439655,0.0009159177043157999,21,21,large,higher_in_label1(disease)
DAD1,1.498210609222994e-06,3.125399998400872e-08,1.0,0.05591362803698585,-0.048542459153059256,0.0073711688839265994,21,21,large,higher_in_label1(disease)
DNMT3A,1.498210609222994e-06,3.125399998400872e-08,1.0,0.0745810178997281,-0.0724006896829327,0.0021803282167954,21,21,large,higher_in_label1(disease)
DNMT3B,1.498210609222994e-06,3.125399998400872e-08,1.0,0.02761029100227185,-0.02636902856339645,0.0012412624388754,21,21,large,higher_in_label1(disease)
EZH2,1.498210609222994e-06,3.125399998400872e-08,1.0,0.13593116284730275,-0.12124430537499,0.01468685747231275,21,21,large,higher_in_label1(disease)
FOXM1,1.498210609222994e-06,3.125399998400872e-08,1.0,0.10607770817411018,-0.1061349158424627,-5.720766835251728e-05,21,21,large,higher_in_label1(disease)
GANAB,1.498210609222994e-06,3.125399998400872e-08,1.0,0.0337084206413621,-0.032835893715921396,0.0008725269254407,21,21,large,higher_in_label1(disease)
SRGAP2,1.498210609222994e-06,3.125399998400872e-08,1.0,0.1100278943124208,-0.1116693505023097,-0.0016414561898889,21,21,large,higher_in_label1(disease)
