Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
FOS,2.1633487841701664e-06,8.537288019613917e-10,-0.9365750528541226,-0.00840156648663045,0.0054877591561611,-0.00291380733046935,22,43,large,higher_in_label0(control)
hsa-mir-23b,2.1991544384200834e-05,1.891401492562229e-08,-0.8583509513742071,-0.019715681506272825,0.010967935395029224,-0.0087477461112436,22,43,large,higher_in_label0(control)
hsa-mir-27b,2.1991544384200834e-05,2.6035766832124116e-08,-0.8498942917547568,-0.0124554768998089,0.0095884771032306,-0.0028669997965783,22,43,large,higher_in_label0(control)
DNMT3B,0.00013593185259683582,3.243793062959445e-07,0.7801268498942917,0.07555998090885303,-0.07366808826371693,0.0018918926451361,22,43,large,higher_in_label1(disease)
ADAM17,0.00013593185259683582,3.243793062959445e-07,-0.7801268498942917,-0.13055007305719407,0.12483551425195677,-0.0057145588052373,22,43,large,higher_in_label0(control)
GRB7,0.00013593185259683582,3.490384853425079e-07,0.7780126849894291,0.11110972336907808,-0.10248952620444873,0.00862019716462935,22,43,large,higher_in_label1(disease)
CCNB1,0.00013593185259683582,3.7550235523987794e-07,0.7758985200845665,0.24993225928227264,-0.24457365883328364,0.005358600448989,22,43,large,higher_in_label1(disease)
IRF4,0.00017092834692282447,5.396317187776621e-07,0.7653276955602537,0.17368117289226817,-0.17232524535888527,0.0013559275333829,22,43,large,higher_in_label1(disease)
PALB2,0.00018215383784403092,7.188391390845735e-07,0.7568710359408033,0.05157781810826113,-0.03807229771591593,0.0135055203923452,22,43,large,higher_in_label1(disease)
PEA15,0.00018215383784403092,7.188391390845735e-07,0.7568710359408033,0.016484671482109223,-0.016238439331088674,0.00024623215102055,22,43,large,higher_in_label1(disease)
NEURL1B,0.00019090992551651262,8.287329047678133e-07,0.7526427061310783,0.16336257423783251,-0.15461536594010306,0.00874720829772945,22,43,large,higher_in_label1(disease)
