Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
PARP6,2.064874138163669e-09,9.707467215146497e-13,0.9093468468468469,0.26123702976991053,-0.25433319565189116,0.006903834118019375,24,148,large,higher_in_label1(disease)
RHOH,2.064874138163669e-09,2.3686108197044055e-12,0.8935810810810811,0.05445266050135938,-0.05429852763165785,0.000154132869701525,24,148,large,higher_in_label1(disease)
FLT4,2.064874138163669e-09,2.4446023735165776e-12,0.8930180180180181,0.027982236446547775,-0.028720440263149825,-0.00073820381660205,24,148,large,higher_in_label1(disease)
CFL1,2.1890973250299532e-09,3.4555601026518598e-12,-0.8868243243243243,-0.008766949566891325,0.008955732989969475,0.00018878342307815,24,148,large,higher_in_label0(control)
RPS27L,2.320528676696563e-09,4.578785865620685e-12,0.8817567567567568,0.268170991028134,-0.262894052615811,0.0052769384123230005,24,148,large,higher_in_label1(disease)
ADRA2C,2.5583704453241394e-09,6.057704290428112e-12,-0.8766891891891891,-0.01215076503465059,0.012267525753746325,0.00011676071909573444,24,148,large,higher_in_label0(control)
ADCY1,3.664700429698793e-09,1.0882199730318734e-11,0.8659909909909911,0.0912441536446476,-0.08642224957454844,0.0048219040700991506,24,148,large,higher_in_label1(disease)
SOX17,3.664700429698793e-09,1.1569693542853332e-11,0.8648648648648649,0.004135241202495571,-0.0042405509374529,-0.00010530973495732864,24,148,large,higher_in_label1(disease)
TPM3,3.681259876496893e-09,1.307471937193056e-11,-0.8626126126126126,-0.004295124564041003,0.004217042868099175,-7.808169594182831e-05,24,148,large,higher_in_label0(control)
SOX7,5.361722574428433e-09,2.258308339386948e-11,0.8524774774774775,0.033717405356038205,-0.03433517365911023,-0.000617768303072025,24,148,large,higher_in_label1(disease)
RCAN3,5.361722574428433e-09,2.327503879980772e-11,0.8519144144144144,0.04941951931895527,-0.04802139250346732,0.0013981268154879501,24,148,large,higher_in_label1(disease)
TRIM25,5.7138254285517755e-09,2.7058368248863975e-11,0.8490990990990992,0.16414395680163468,-0.14974554247560173,0.01439841432603295,24,148,large,higher_in_label1(disease)
XIAP,1.4282630715184582e-08,7.890956196234575e-11,-0.8288288288288288,-0.0588189524055683,0.056017760317606954,-0.00280119208796135,24,148,large,higher_in_label0(control)
NTF3,1.4282630715184582e-08,7.890956196234575e-11,0.8288288288288288,0.6909075942844516,-0.6704617474914942,0.02044584679295735,24,148,large,higher_in_label1(disease)
