Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
MC2R,6.491220028584787e-05,7.684948731552629e-08,1.0,0.10748000673104789,-0.10244298294948084,0.0050370237815670505,16,26,large,higher_in_label1(disease)
MDK,6.491220028584787e-05,7.684948731552629e-08,1.0,0.31179242153533926,-0.2904765713294651,0.021315850205874197,16,26,large,higher_in_label1(disease)
RASAL1,6.491220028584787e-05,7.684948731552629e-08,1.0,0.0042906871414755245,-0.00357253263171165,0.0007181545097638749,16,26,large,higher_in_label1(disease)
ATP1B2,6.604966390467159e-05,1.3585191879182706e-07,0.9807692307692308,0.04224428268491641,-0.036705981430230655,0.005538301254685751,16,26,large,higher_in_label1(disease)
TWIST1,6.604966390467159e-05,1.3585191879182706e-07,0.9807692307692308,0.2623221461654565,-0.25018154949737537,0.012140596668081125,16,26,large,higher_in_label1(disease)
RPN1,6.604966390467159e-05,1.563922586535239e-07,-0.9759615384615384,-0.056279428131394596,0.038065976978500074,-0.018213451152894525,16,26,large,higher_in_label0(control)
DGKB,0.00022330112854816793,6.168539462656573e-07,0.9278846153846154,0.05741535811075708,-0.05283921144665868,0.0045761466640984,16,26,large,higher_in_label1(disease)
VPS4A,0.0004065172020174888,1.5509199478497785e-06,0.8942307692307692,0.15417866373129677,-0.13846400841366413,0.015714655317632626,16,26,large,higher_in_label1(disease)
ID1,0.0004065172020174888,1.5509199478497785e-06,0.8942307692307692,0.07692954125531559,-0.07200152285322467,0.004928018402090925,16,26,large,higher_in_label1(disease)
ADRB3,0.0004065172020174888,1.7646760939985703e-06,0.8894230769230769,0.07822013466156265,-0.07803708613227245,0.00018304852929020438,16,26,large,higher_in_label1(disease)
PTHLH,0.0004065172020174888,1.7646760939985703e-06,0.8894230769230769,0.0945865230961098,-0.09434613450936186,0.00024038858674795,16,26,large,higher_in_label1(disease)
RPS6KA2,0.0004237257986233434,2.0065941529124395e-06,0.8846153846153846,0.039233402318483976,-0.0334338086505263,0.005799593667957675,16,26,large,higher_in_label1(disease)
TAAR8,0.00044446375559632344,2.280200798244753e-06,-0.8798076923076923,-0.026512156194666976,0.028689759475391,0.002177603280724025,16,26,large,higher_in_label0(control)
GNAO1,0.0004686885270567846,2.5894393760043345e-06,0.875,0.03572093424109306,-0.03209444615211618,0.003626488088976875,16,26,large,higher_in_label1(disease)
WNT5B,0.0004964470687231074,2.9387158764193414e-06,-0.8701923076923077,-0.0422809117222573,0.0383890850209246,-0.0038918267013327,16,26,large,higher_in_label0(control)
ANO7,0.0004968055420023416,3.3329495714442805e-06,-0.8653846153846154,-0.025866513380768452,0.013366073471766101,-0.012500439909002351,16,26,large,higher_in_label0(control)
RRAD,0.0004968055420023416,3.3329495714442805e-06,0.8653846153846154,0.027045912576745237,-0.0269702528609641,7.565971578113646e-05,16,26,large,higher_in_label1(disease)
PDE6G,0.0005163172165834711,3.7776287430436627e-06,0.8605769230769231,0.0629810124130559,-0.05903741355248937,0.003943598860566526,16,26,large,higher_in_label1(disease)
DHRS9,0.0005163172165834711,4.2788719606365e-06,0.8557692307692308,0.0327251665547308,-0.0293174670374211,0.0034076995173097,16,26,large,higher_in_label1(disease)
ARHGDIG,0.0005163172165834711,4.2788719606365e-06,-0.8557692307692308,-0.06429073392863907,0.0560555333697562,-0.008235200558882876,16,26,large,higher_in_label0(control)
PIP5K1B,0.0005163172165834711,4.2788719606365e-06,0.8557692307692308,0.10652999060318975,-0.10277941317255733,0.0037505774306324253,16,26,large,higher_in_label1(disease)
TRADD,0.0006820236969617357,6.1940862071901e-06,0.8413461538461537,0.09819869566403652,-0.09196406744359235,0.006234628220444176,16,26,large,higher_in_label1(disease)
ALDH1A3,0.0006820236969617357,6.9978753437273594e-06,-0.8365384615384616,-0.0352384875445072,0.02568099987248345,-0.00955748767202375,16,26,large,higher_in_label0(control)
RHOH,0.0006820236969617357,6.9978753437273594e-06,0.8365384615384615,0.024912378542201675,-0.0169400043037779,0.007972374238423775,16,26,large,higher_in_label1(disease)
FXYD4,0.0006820236969617357,6.9978753437273594e-06,0.8365384615384615,0.0392122347531433,-0.033376745432934604,0.0058354893202087,16,26,large,higher_in_label1(disease)
PKN1,0.0006820236969617357,6.9978753437273594e-06,0.8365384615384615,0.044259053021114325,-0.036206326890107346,0.008052726131006976,16,26,large,higher_in_label1(disease)
STMN2,0.00074151167928271,7.900874246500857e-06,-0.8317307692307692,-0.0108006198253515,0.00844293774308165,-0.0023576820822698496,16,26,large,higher_in_label0(control)
