Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
ST6GAL1,0.00023215948636582352,1.8038263815266235e-07,-0.9944444444444445,-0.05296101371133525,0.0229906365789951,-0.02997037713234015,18,20,large,higher_in_label0(control)
SLITRK3,0.00023215948636582352,2.885295635564427e-07,0.9777777777777779,0.029055467131626996,-0.025054078446106923,0.0040013886855200746,18,20,large,higher_in_label1(disease)
DGKB,0.00023215948636582352,3.3687561179842543e-07,0.9722222222222223,0.07117934641099566,-0.06801444721597844,0.003164899195017225,18,20,large,higher_in_label1(disease)
GNG5,0.00023215948636582352,3.929971220919556e-07,0.9666666666666666,0.3411731523724869,-0.30437786599839417,0.03679528637409275,18,20,large,higher_in_label1(disease)
ATP1A4,0.00023215948636582352,4.58088962837063e-07,0.961111111111111,0.008844894506961324,-0.008033101339736774,0.0008117931672245501,18,20,large,higher_in_label1(disease)
RPS6KA1,0.0002622095714228048,6.208592851368702e-07,0.95,0.016851199275121576,-0.015994528381900425,0.00085667089322115,18,20,large,higher_in_label1(disease)
ABHD12,0.0002656545055779898,8.38688257546929e-07,-0.9388888888888889,-0.013031991069158125,0.0117713339588274,-0.0012606571103307251,18,20,large,higher_in_label0(control)
MDK,0.0002656545055779898,8.38688257546929e-07,0.9388888888888889,0.16178371659377852,-0.14507480371751727,0.01670891287626125,18,20,large,higher_in_label1(disease)
DERL3,0.00027411333571179596,9.735674906890938e-07,0.9333333333333333,0.03169268644757965,-0.022720946492879424,0.008971739954700225,18,20,large,higher_in_label1(disease)
TRPC7,0.0003839882121456187,1.515344167899048e-06,-0.9166666666666666,-0.006045461075789125,0.006558719785361575,0.00051325870957245,18,20,large,higher_in_label0(control)
ATP1B2,0.0004669071734313638,2.0268267197099456e-06,0.9055555555555554,0.041526145012269595,-0.03697761166201262,0.004548533350256975,18,20,large,higher_in_label1(disease)
ATP1A2,0.0007581547196780995,3.590314378901813e-06,-0.8833333333333333,-0.0392149831275131,0.03437664744326047,-0.004838335684252625,18,20,large,higher_in_label0(control)
GRB2,0.0007952539566177399,4.133495602171623e-06,0.8777777777777778,0.11116435841064758,-0.10274465967773813,0.00841969873290945,18,20,large,higher_in_label1(disease)
ARHGEF1,0.0007952539566177399,4.754941470391921e-06,0.8722222222222222,0.0895466061672303,-0.07268719154462527,0.016859414622605026,18,20,large,higher_in_label1(disease)
