Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
DNMT3A,1.012280601326011e-05,3.125399998400872e-08,1.0,0.0668120574879471,-0.06536179240856935,0.00145026507937775,21,21,large,higher_in_label1(disease)
DNMT3B,1.012280601326011e-05,3.125399998400872e-08,1.0,0.01591068347003615,-0.015784299096258052,0.0001263843737781,21,21,large,higher_in_label1(disease)
POLA2,1.012280601326011e-05,3.125399998400872e-08,-1.0,-0.0846274291272997,0.060466637322852804,-0.0241607918044469,21,21,large,higher_in_label0(control)
KIT,1.012280601326011e-05,3.125399998400872e-08,1.0,0.029688325881186698,-0.028876342031884647,0.00081198384930205,21,21,large,higher_in_label1(disease)
MDK,1.012280601326011e-05,3.125399998400872e-08,1.0,0.08311592530809371,-0.0659126376141908,0.0172032876939029,21,21,large,higher_in_label1(disease)
ZDHHC3,1.012280601326011e-05,3.125399998400872e-08,1.0,0.02848729888330265,-0.0282602286286763,0.00022707025462634996,21,21,large,higher_in_label1(disease)
POLA1,1.012280601326011e-05,3.606584339487081e-08,-0.9954648526077098,-0.025329584830861798,0.017080848335749098,-0.0082487364951127,21,21,large,higher_in_label0(control)
RAD17,1.012280601326011e-05,4.1592917702851843e-08,0.9909297052154196,0.05314224798097909,-0.0362742033309737,0.0168680446500054,21,21,large,higher_in_label1(disease)
GRB2,1.012280601326011e-05,4.1592917702851843e-08,-0.9909297052154195,-0.041597758353859544,0.037432027585215646,-0.0041657307686439,21,21,large,higher_in_label0(control)
GTF2F1,1.012280601326011e-05,4.793751861054512e-08,0.9863945578231292,0.19058484057793984,-0.1647278642478292,0.02585697633011065,21,21,large,higher_in_label1(disease)
RBBP4,1.012280601326011e-05,4.793751861054512e-08,0.9863945578231292,0.13178401697245085,-0.1084744098323511,0.02330960714009975,21,21,large,higher_in_label1(disease)
CCNB1,1.012280601326011e-05,4.793751861054512e-08,0.9863945578231292,0.0431337573642928,-0.0396541981079549,0.0034795592563379,21,21,large,higher_in_label1(disease)
RPS7,1.0762865189176151e-05,5.521596190185081e-08,-0.981859410430839,-0.03794205769815555,0.03627181168485315,-0.0016702460133024,21,21,large,higher_in_label0(control)
DAD1,1.3314250898424002e-05,8.406788254727073e-08,0.9682539682539681,0.052615808658210805,-0.0514972867967551,0.0011185218614557,21,21,large,higher_in_label1(disease)
RBPJ,1.3314250898424002e-05,8.406788254727073e-08,0.9682539682539681,0.13781467470350287,-0.1120264043458128,0.025788270357690053,21,21,large,higher_in_label1(disease)
DLL4,1.3314250898424002e-05,8.406788254727073e-08,0.9682539682539681,0.1422214647737483,-0.0913188059968909,0.0509026587768574,21,21,large,higher_in_label1(disease)
RFC3,1.3598332023387206e-05,9.659430797986177e-08,0.963718820861678,0.0719897667963018,-0.0378287780214749,0.0341609887748269,21,21,large,higher_in_label1(disease)
BECN1,1.3598332023387206e-05,9.659430797986177e-08,0.963718820861678,0.05998186873001865,-0.01904472660430875,0.0409371421257099,21,21,large,higher_in_label1(disease)
IQGAP3,1.405344564912525e-05,1.1091906589680546e-07,0.9591836734693877,0.11508101784372415,-0.0608160048095725,0.05426501303415165,21,21,large,higher_in_label1(disease)
PSMD2,1.405344564912525e-05,1.1091906589680546e-07,-0.9591836734693877,-0.14030524350957885,0.08893954527015666,-0.0513656982394222,21,21,large,higher_in_label0(control)
ADH1A,1.4797287935022402e-05,1.2728996806318129e-07,0.9546485260770976,0.025644284565193753,-0.0231012715742557,0.0025430129909380502,21,21,large,higher_in_label1(disease)
AP2M1,1.4797287935022402e-05,1.4598745002981848e-07,-0.9501133786848073,-0.050507137032782694,0.01178432020819805,-0.038722816824584644,21,21,large,higher_in_label0(control)
NSFL1C,1.4797287935022402e-05,1.4598745002981848e-07,-0.9501133786848073,-0.0237898619127742,0.0210364278069952,-0.002753434105779,21,21,large,higher_in_label0(control)
ALDH8A1,1.4797287935022402e-05,1.4598745002981848e-07,0.9501133786848073,0.032195925408715395,-0.0294085144917681,0.0027874109169473,21,21,large,higher_in_label1(disease)
VIPR1,1.4797287935022402e-05,1.4598745002981848e-07,0.9501133786848073,0.06427868385518505,-0.0013200979900162002,0.06295858586516885,21,21,large,higher_in_label1(disease)
MIB1,1.5704103604552147e-05,1.6732864929870087e-07,-0.9455782312925171,-0.09412669754073445,0.08940822353606395,-0.0047184740046705,21,21,large,higher_in_label0(control)
FAM91A1,1.5704103604552147e-05,1.6732864929870087e-07,0.945578231292517,0.0284315725398827,-0.02560785029593465,0.00282372224394805,21,21,large,higher_in_label1(disease)
RPS20,1.7346312708554034e-05,1.9167196363043132e-07,-0.9410430839002267,-0.03025635857063615,0.02164237725990125,-0.0086139813107349,21,21,large,higher_in_label0(control)
RPA1,1.7935990585316045e-05,2.1942214212501873e-07,0.9365079365079365,0.032464187298684055,-0.0315039850093411,0.00096020228934295,21,21,large,higher_in_label1(disease)
SHC1,1.7935990585316045e-05,2.1942214212501873e-07,0.9365079365079365,0.08306023080583941,-0.0423049066892189,0.0407553241166205,21,21,large,higher_in_label1(disease)
