Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
NR4A1,8.196241508086277e-07,3.234507303901451e-10,0.959830866807611,0.031919060704836875,-0.005302023916667675,0.0266170367881692,22,43,large,higher_in_label1(disease)
hsa-mir-23b,0.0003547699972426195,2.800078904835197e-07,-0.7843551797040169,-0.007481106089456824,0.002815917267299825,-0.004665188822156999,22,43,large,higher_in_label0(control)
IRF4,0.00045580892512753186,5.396317187776621e-07,0.7653276955602537,0.05560682944440955,-0.0550984104472736,0.00050841899713595,22,43,large,higher_in_label1(disease)
FLRT2,0.0007468042577316841,1.1788543926309142e-06,0.7420718816067653,0.07405351713422965,-0.07164451324992666,0.002409003884303,22,43,large,higher_in_label1(disease)
USP9X,0.0016724341656406247,3.2999884878465366e-06,0.7103594080338267,0.0228617568527451,-0.006860407165339101,0.016001349687405998,22,43,large,higher_in_label1(disease)
GNG2,0.001703750258034445,4.034136364722443e-06,0.7040169133192389,0.12475199535009722,-0.08973166701440732,0.035020328335689896,22,43,large,higher_in_label1(disease)
ADRA2A,0.0018032615325757654,5.617468354454592e-06,-0.6934460887949261,-0.014004007473497249,0.012584797700839648,-0.0014192097726576,22,43,large,higher_in_label0(control)
FOS,0.0018032615325757654,5.998708467872351e-06,-0.6913319238900635,-0.012880395694367924,0.010879658009457824,-0.0020007376849101,22,43,large,higher_in_label0(control)
FOSB,0.0018032615325757654,6.4046384345627025e-06,0.6892177589852009,0.022358900605447676,0.001003700276258925,0.0233626008817066,22,43,large,higher_in_label1(disease)
FASLG,0.002231929906794696,9.449986935474667e-06,0.6765327695560253,0.034626260375228174,-0.033769259067979875,0.0008570013072483,22,43,large,higher_in_label1(disease)
ERLIN2,0.002231929906794696,1.0076430066450354e-05,-0.6744186046511628,-0.02268365539534707,0.020014338443249173,-0.0026693169520979,22,43,large,higher_in_label0(control)
MAP3K7,0.002231929906794696,1.1450311281898597e-05,-0.6701902748414377,-0.030597313373681698,0.0183338145023745,-0.0122634988713072,22,43,large,higher_in_label0(control)
hsa-mir-106b,0.002231929906794696,1.1450311281898597e-05,0.6701902748414377,0.0213804979153599,-0.009610326655472,0.0117701712598879,22,43,large,higher_in_label1(disease)
DERL1,0.0030276514389191897,1.672735601612812e-05,0.657505285412262,0.0196969673031075,-0.01803110137944735,0.00166586592366015,22,43,large,higher_in_label1(disease)
CCNB1,0.0032732194542633443,2.0167504095972713e-05,0.6511627906976745,0.0616026053472433,-0.0598891352677245,0.0017134700795187999,22,43,large,higher_in_label1(disease)
MRC1,0.0032732194542633443,2.145691103300622e-05,-0.6490486257928119,-0.014850668967063383,0.014832240166216749,-1.8428800846633997e-05,22,43,large,higher_in_label0(control)
VANGL1,0.0032732194542633443,2.2824555308169718e-05,-0.6469344608879493,-0.10063524705396668,0.061185345954647426,-0.03944990109931925,22,43,large,higher_in_label0(control)
PLA2G4A,0.0032732194542633443,2.4274905353053172e-05,-0.6448202959830867,-0.0120847484650744,0.0078014560852376,-0.0042832923798368,22,43,large,higher_in_label0(control)
POLR2D,0.0032732194542633443,2.5812667070253672e-05,0.642706131078224,0.17678457601349823,-0.11748574304798183,0.0592988329655164,22,43,large,higher_in_label1(disease)
XPO1,0.0032732194542633443,2.7442795374968113e-05,0.6405919661733614,0.10301466734115425,-0.05127534871248545,0.051739318628668804,22,43,large,higher_in_label1(disease)
DNMT3B,0.0032732194542633443,3.1001289227434995e-05,0.6363636363636365,0.014579690815873776,-0.016614290336235876,-0.0020345995203621,22,43,large,higher_in_label1(disease)
PARP14,0.0032732194542633443,3.1001289227434995e-05,0.6363636363636365,0.04472749042663378,-0.03287896843790268,0.0118485219887311,22,43,large,higher_in_label1(disease)
DST,0.0032732194542633443,3.1001289227434995e-05,0.6363636363636365,0.05309561469359041,-0.0422562098098427,0.0108394048837477,22,43,large,higher_in_label1(disease)
TAF1,0.0032732194542633443,3.1001289227434995e-05,-0.6363636363636364,-0.004782767002929975,0.0014158045739657752,-0.0033669624289642,22,43,large,higher_in_label0(control)
JUNB,0.003933731934048815,3.947525918301445e-05,-0.627906976744186,-0.02311188825976395,0.014581260152061348,-0.0085306281077026,22,43,large,higher_in_label0(control)
