Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
ALDH1A1,7.460758617917571e-09,2.944261490890912e-12,-0.889261744966443,-0.01632926207321725,0.012904171116027,-0.00342509095719025,24,149,large,higher_in_label0(control)
RHOH,6.109199310622259e-08,4.8217831970183575e-11,0.8378076062639821,0.0352547925902029,-0.0350953253023725,0.0001594672878304,24,149,large,higher_in_label1(disease)
RPS27L,9.521717751728025e-08,1.2642041762457584e-10,0.8193512304250559,0.06968081275234832,-0.06683976054906121,0.0028410522032871,24,149,large,higher_in_label1(disease)
PARP6,9.521717751728025e-08,1.5030335835403354e-10,0.8159955257270695,0.06703755084026329,-0.0646475170121698,0.0023900338280935,24,149,large,higher_in_label1(disease)
GPNMB,1.599751434918511e-07,3.156573470636368e-10,0.801454138702461,0.04771210043903301,-0.04768636488104577,2.5735557987235945e-05,24,149,large,higher_in_label1(disease)
CORO1A,2.0335938754755377e-07,4.815139405230161e-10,0.7930648769574944,0.02300803065345492,-0.022540744860090722,0.0004672857933642,24,149,large,higher_in_label1(disease)
PAK2,2.1316381618081208e-07,6.19099380387877e-10,-0.7880313199105146,-0.0643944021017039,0.06223137552124115,-0.00216302658046275,24,149,large,higher_in_label0(control)
DUSP16,2.1316381618081208e-07,6.729717953616798e-10,-0.7863534675615212,-0.04453667178271951,0.042895770914038206,-0.0016409008686813,24,149,large,higher_in_label0(control)
APOE,2.499293875603388e-07,8.876734364810769e-10,0.7807606263982103,0.0701351635693343,-0.0618781202367785,0.0082570433325558,24,149,large,higher_in_label1(disease)
DAGLA,3.350170371659581e-07,1.3399966488608005e-09,0.7723713646532437,0.018358930919868958,-0.018354228807692025,4.702112176932079e-06,24,149,large,higher_in_label1(disease)
MGLL,3.350170371659581e-07,1.4542965307125254e-09,0.7706935123042506,0.010611567833560851,-0.01012491645980775,0.0004866513737531,24,149,large,higher_in_label1(disease)
NEDD4L,5.277070009332359e-07,2.499007107813272e-09,0.7595078299776286,0.12369090482902731,-0.105913124439467,0.0177777803895603,24,149,large,higher_in_label1(disease)
STMN2,5.570555682810046e-07,2.857822568134593e-09,-0.7567114093959731,-0.00418450843381775,0.0035479562776085,-0.00063655215620925,24,149,large,higher_in_label0(control)
ADCY1,5.756797720946719e-07,3.180551227042386e-09,0.7544742729306488,0.08102733509624825,-0.07556942024431665,0.0054579148519316,24,149,large,higher_in_label1(disease)
ARHGDIA,7.199931737318103e-07,4.261995898175673e-09,0.7483221476510067,0.07048333376002786,-0.06769280204541156,0.0027905317146163,24,149,large,higher_in_label1(disease)
RHEB,7.910723011109805e-07,4.994931656580777e-09,-0.7449664429530201,-0.022573054208821348,0.02192798512090075,-0.0006450690879205983,24,149,large,higher_in_label0(control)
PIP5K1C,9.684894529309536e-07,6.4973641277925056e-09,-0.7393736017897092,-0.02673262968884788,0.026537201200707877,-0.00019542848814,24,149,large,higher_in_label0(control)
