Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
ADRA2A,0.00019473660085754364,7.684948731552629e-08,-1.0,-0.005944641755004851,0.001276035255079825,-0.0046686064999250255,16,26,large,higher_in_label0(control)
TWIST1,0.0006833316595089341,5.393304337087089e-07,0.9326923076923077,0.05785758756016128,-0.05827833436851468,-0.0004207468083534,16,26,large,higher_in_label1(disease)
MC2R,0.0007574276571313352,1.048757649042724e-06,0.9086538461538463,0.05169317248550798,-0.047847805626994325,0.00384536685851365,16,26,large,higher_in_label1(disease)
FGF1,0.0007574276571313352,1.1956237681631179e-06,0.9038461538461537,0.2125041151254486,-0.14909594484375108,0.06340817028169751,16,26,large,higher_in_label1(disease)
PDE6G,0.000963004803792034,2.280200798244753e-06,0.8798076923076923,0.03887681326348914,-0.038232205042509945,0.0006446082209792,16,26,large,higher_in_label1(disease)
RASAL1,0.000963004803792034,2.280200798244753e-06,0.8798076923076923,0.02838132768190908,-0.027720352949975803,0.000660974731933275,16,26,large,higher_in_label1(disease)
DGKB,0.0012065277448628296,3.3329495714442805e-06,0.8653846153846154,0.06658868410494204,-0.06628294263119333,0.0003057414737487,16,26,large,higher_in_label1(disease)
ALDH1A3,0.001534177168374711,4.843495401340839e-06,-0.8509615384615384,-0.048260818481948076,0.009767516900067025,-0.03849330158188105,16,26,large,higher_in_label0(control)
MDK,0.0017439793832244126,6.1940862071901e-06,0.8413461538461537,0.06943325177267792,-0.03570720306462605,0.033726048708051876,16,26,large,higher_in_label1(disease)
COL9A2,0.0019135435357021577,8.914647868285566e-06,0.8269230769230769,0.015467968608936877,-0.000303707828599,0.015164260780337876,16,26,large,higher_in_label1(disease)
LTBP1,0.0019135435357021577,8.914647868285566e-06,-0.8269230769230769,-0.007727182992335375,0.00034506450053027496,-0.0073821184918051,16,26,large,higher_in_label0(control)
GNAO1,0.0019135435357021577,1.0052022204950511e-05,0.8221153846153846,0.027491663729569103,-0.027118970341076853,0.00037269338849225,16,26,large,higher_in_label1(disease)
PRR5,0.0019135435357021577,1.0052022204950511e-05,-0.8221153846153846,-0.059025259605358975,0.04357863928799835,-0.015446620317360625,16,26,large,higher_in_label0(control)
VPS4A,0.0019135435357021577,1.1327211142672599e-05,0.8173076923076923,0.06410113353291078,-0.035637366512654624,0.028463767020256152,16,26,large,higher_in_label1(disease)
GNG5,0.0019135435357021577,1.1327211142672599e-05,0.8173076923076923,0.18086078138581324,-0.11706790632303136,0.06379287506278189,16,26,large,higher_in_label1(disease)
SLC25A5,0.0020202243449734115,1.2755954822247271e-05,-0.8125,-0.06864223811962675,0.05308011338472032,-0.015562124734906424,16,26,large,higher_in_label0(control)
SPTBN1,0.002139839345048037,1.4355670428499067e-05,0.8076923076923077,0.02485747062239625,-9.93130687324e-05,0.02475815755366385,16,26,large,higher_in_label1(disease)
CRHR1,0.0022729439933981952,1.614561636983722e-05,-0.8028846153846154,-0.024062776945958025,0.023849195886464048,-0.000213581059493975,16,26,large,higher_in_label0(control)
