Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
DGKB,0.004185259585024363,2.7020289337666753e-06,0.8944444444444444,0.0741316334309583,-0.0722820944176028,0.0018495390133555002,18,20,large,higher_in_label1(disease)
TGFB1,0.004185259585024363,4.133495602171623e-06,-0.8777777777777778,-0.0847837412518955,0.03697514259720375,-0.04780859865469175,18,20,large,higher_in_label0(control)
TLR2,0.004185259585024363,6.276668955151854e-06,0.8611111111111112,0.10081859491716555,-0.014617431417158499,0.08620116350000705,18,20,large,higher_in_label1(disease)
DERL3,0.004185259585024363,7.2025431509318016e-06,0.8555555555555556,0.04727518626265988,-0.020725198439985576,0.0265499878226743,18,20,large,higher_in_label1(disease)
GNG5,0.004185259585024363,8.258207547404032e-06,0.8500000000000001,0.18929018318361746,-0.08602857938464067,0.10326160379897678,18,20,large,higher_in_label1(disease)
MDK,0.004483714784574669,1.0829691624042155e-05,0.8388888888888888,0.061734142171511075,-0.030590111579458273,0.0311440305920528,18,20,large,higher_in_label1(disease)
RPL28,0.004483714784574669,1.2386447683562335e-05,-0.8333333333333334,-0.002495422238076375,0.00043446014053745,-0.0020609620975389252,18,20,large,higher_in_label0(control)
PRKCQ,0.004483714784574669,1.415537422123021e-05,0.8277777777777777,0.02172636266880795,-0.01443673495912385,0.0072896277096841,18,20,large,higher_in_label1(disease)
STK10,0.005192385970841543,1.8441781269760808e-05,-0.8166666666666667,-0.0178441408059513,0.01276824529029115,-0.00507589551566015,18,20,large,higher_in_label0(control)
RGS19,0.0052361887152675615,2.3947597062215867e-05,0.8055555555555556,0.0094831328626607,-0.00041774720561955,0.00906538565704115,18,20,large,higher_in_label1(disease)
LTBP1,0.0052361887152675615,3.0995592237179725e-05,-0.7944444444444445,-0.015006080553500832,0.0004387859368101325,-0.0145672946166907,18,20,large,higher_in_label0(control)
S100A8,0.0052361887152675615,3.0995592237179725e-05,0.7944444444444445,0.0324836817464453,-0.0102457458815045,0.0222379358649408,18,20,large,higher_in_label1(disease)
ST6GAL1,0.0052361887152675615,3.0995592237179725e-05,-0.7944444444444445,-0.025740581967494073,0.0009022669288075,-0.024838315038686574,18,20,large,higher_in_label0(control)
FGFBP2,0.0052361887152675615,3.0995592237179725e-05,-0.7944444444444445,-0.011564993597384726,0.0048044866913517,-0.006760506906033026,18,20,large,higher_in_label0(control)
ARHGEF1,0.0052361887152675615,3.0995592237179725e-05,0.7944444444444445,0.06808634812941457,-0.036535228468966896,0.03155111966044767,18,20,large,higher_in_label1(disease)
