Pathway,Score
Signaling by VEGF,0.09880986124872015
Negative regulation of the PI3K/AKT network,0.003243703881959521
PI3K/AKT Signaling in Cancer,0.0007220628894617615
G beta:gamma signalling through PI3Kgamma,0.01826513425121776
G-protein beta:gamma signalling,-0.030095042821964294
VEGFA-VEGFR2 Pathway,0.007502668534189503
VEGFR2 mediated vascular permeability,0.006700260356690658
Constitutive Signaling by AKT1 E17K in Cancer,0.012547705603036781
Respiratory Syncytial Virus Infection Pathway,0.005786701167112242
RSV-host interactions,0.002955455889428868
RHO GTPases Activate WASPs and WAVEs,6.722099148288381e-05
RAC2 GTPase cycle,0.0024362195360401804
RAC3 GTPase cycle,-0.011848726105902003
Parasite infection,-0.0011196188668654429
Leishmania phagocytosis,0.0024178509129562814
FCGR3A-mediated phagocytosis,0.004301234864311607
Signaling by NOTCH1,0.020578373500765405
NOTCH1 Intracellular Domain Regulates Transcription,-0.044512906700443146
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.029671140781926744
Signaling by NOTCH1 in Cancer,-0.005705526490321362
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.0736528993536243
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.10485614712778395
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,-0.0027366901097369604
Regulation of PTEN gene transcription,0.006920319378148498
Budding and maturation of HIV virion,-0.0012052263453964933
Uptake and actions of bacterial toxins,0.008338978536173224
Bacterial Infection Pathways,0.007802682529576224
NRAGE signals death through JNK,0.002721443440853752
p75 NTR receptor-mediated signalling,-0.001470965450817797
"Cell death signalling via NRAGE, NRIF and NADE",0.009057109599848434
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.006472688401150875
Neurodegenerative Diseases,0.0605950154111397
Diseases of programmed cell death,0.026591349791046014
Defective Intrinsic Pathway for Apoptosis,-0.0001884267995204568
Signaling by SCF-KIT,-0.06656355318155038
Regulation of KIT signaling,0.01421419091281923
Degradation of beta-catenin by the destruction complex,0.008302923263748332
Beta-catenin phosphorylation cascade,0.00696228924562106
Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.0006756110376461531
G alpha (12/13) signalling events,0.005207857167487596
Pre-NOTCH Transcription and Translation,-0.00935446156251626
Pre-NOTCH Expression and Processing,-0.021571618522540466
Signaling by NOTCH2,-0.19326007851320529
NOTCH2 intracellular domain regulates transcription,-0.12160756263515494
Signaling by NOTCH3,0.009773527803822239
NOTCH3 Intracellular Domain Regulates Transcription,0.0127186493365033
Signaling by NOTCH4,0.009446323128595226
NOTCH4 Intracellular Domain Regulates Transcription,0.0009922438687697504
Signaling by MET,0.0066410302102546965
RAS processing,0.002778671890516417
Potential therapeutics for SARS,-0.01252977437075945
Host Interactions of HIV factors,-0.036759596973951966
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,-0.0007301311687125542
The role of Nef in HIV-1 replication and disease pathogenesis,0.013372187893463035
NR1H2 and NR1H3-mediated signaling,-0.00030087738734325443
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.03016972098324973
Diseases of glycosylation,0.00666511499196065
Diseases associated with O-glycosylation of proteins,0.0019563039233931848
Defective GALNT3 causes HFTC,-0.0028460716964876062
Defective GALNT12 causes CRCS1,0.012083021059795172
Diseases of metabolism,-0.001333994574624827
Diseases of DNA repair,-0.0010056031624956236
Diseases of DNA Double-Strand Break Repair,-0.03961028977622529
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,-0.08206885085036646
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,0.0012948881410425842
Defective homologous recombination repair (HRR) due to PALB2 loss of function,-0.011130375994198064
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,-0.00015848834636008813
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,0.017005661446480056
Impaired BRCA2 binding to RAD51,0.00045703787328965737
Impaired BRCA2 binding to PALB2,-0.0005716906325274913
Effects of PIP2 hydrolysis,-0.03244560461068113
Integrin signaling,-0.002905315052617035
Retrograde neurotrophin signalling,0.00032840166331364005
Signaling by NTRK1 (TRKA),0.004614638112287027
TNFR1-induced proapoptotic signaling,0.00042978640521076407
Regulation of TNFR1 signaling,-0.0005807368715373513
TNFR1-induced NF-kappa-B signaling pathway,-0.0015579376626863163
TNF signaling,0.037440116463606565
RHOA GTPase cycle,0.06898154791283395
SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.002082006700403761
HCMV Infection,0.042009313398265816
HCMV Early Events,0.024325668122867853
Regulation of RAS by GAPs,0.000734107585419286
RHOF GTPase cycle,0.019198833092360965
P2Y receptors,-0.004233746014058384
Nucleotide-like (purinergic) receptors,0.010307141238504248
Signaling by PTK6,-0.00047723659238590034
Signaling by Non-Receptor Tyrosine Kinases,0.007241074968533668
Signaling by Retinoic Acid,-0.07550837108454247
RA biosynthesis pathway,-0.05604945198431028
Signaling by ERBB2,-0.009357443132336532
Downregulation of ERBB2 signaling,0.016418104650842043
Activated NOTCH1 Transmits Signal to the Nucleus,0.0006327936686636512
NOTCH2 Activation and Transmission of Signal to the Nucleus,-0.0024081613673613642
NOTCH3 Activation and Transmission of Signal to the Nucleus,0.005782258692458818
Opioid Signalling,-0.0351955623677783
DARPP-32 events,0.0019456518196704906
Nuclear Events (kinase and transcription factor activation),0.02514288986904354
Signaling by NTRK2 (TRKB),-0.04535044966245181
NGF-stimulated transcription,0.01863401380335143
Class B/2 (Secretin family receptors),0.0017395273391723235
G alpha (s) signalling events,-0.012125602184729772
RHOB GTPase cycle,0.0002743339232378102
RHOC GTPase cycle,0.005616679192899939
Vpu mediated degradation of CD4,0.001510693072255395
Vif-mediated degradation of APOBEC3G,-0.0009308109180375679
PCP/CE pathway,-0.0008034338901380089
Asymmetric localization of PCP proteins,-0.00014114549567648244
Degradation of AXIN,0.01778520672652197
Degradation of DVL,0.0015932428208944257
Hedgehog ligand biogenesis,-0.04294067870418323
Hh mutants are degraded by ERAD,0.007116743733123248
Hh mutants abrogate ligand secretion,-0.000676320779051455
Degradation of GLI1 by the proteasome,-0.03106359336534713
Degradation of GLI2 by the proteasome,-0.14994749637231397
GLI3 is processed to GLI3R by the proteasome,-0.02431414332667813
Hedgehog 'off' state,-0.020042455453252884
ABC transporter disorders,0.0017619322142729723
Disorders of transmembrane transporters,0.08959553096019512
Hedgehog 'on' state,0.04739170063984136
