Pathway,Score
Signaling by VEGF,-0.001471336444766457
Negative regulation of the PI3K/AKT network,-0.0007055016400039831
PI3K/AKT Signaling in Cancer,0.1386679641243665
G beta:gamma signalling through PI3Kgamma,0.0536968145636865
G-protein beta:gamma signalling,-0.01231053409032499
VEGFA-VEGFR2 Pathway,-0.01021004230354797
VEGFR2 mediated vascular permeability,0.0002855802610413975
Constitutive Signaling by AKT1 E17K in Cancer,0.054853589003787145
Respiratory Syncytial Virus Infection Pathway,0.0798062626330547
RSV-host interactions,0.025892486059042333
RHO GTPases Activate WASPs and WAVEs,-0.016610669084668146
RAC2 GTPase cycle,0.04006538647247179
RAC3 GTPase cycle,-0.03206037332001754
Parasite infection,0.2100134430663613
Leishmania phagocytosis,-0.004216335052541861
FCGR3A-mediated phagocytosis,-0.01066297427541207
Signaling by NOTCH1,-0.006360682689642952
NOTCH1 Intracellular Domain Regulates Transcription,-0.005672334399746013
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.00884443558331193
Signaling by NOTCH1 in Cancer,0.00875901825331405
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.01230884925334078
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.010744881718621842
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,-0.011175643510303805
Regulation of PTEN gene transcription,0.051437242910675876
Budding and maturation of HIV virion,0.1227641267304396
Uptake and actions of bacterial toxins,0.011277698126463155
Bacterial Infection Pathways,-0.05672089918141357
NRAGE signals death through JNK,-0.04253904689141575
p75 NTR receptor-mediated signalling,-0.040207512527350366
"Cell death signalling via NRAGE, NRIF and NADE",0.044187332992885
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,-0.0016075423292233305
Neurodegenerative Diseases,0.017865741101659026
Diseases of programmed cell death,0.09603851173129518
Defective Intrinsic Pathway for Apoptosis,-0.0326631566714846
Signaling by SCF-KIT,0.0018524990822945794
Regulation of KIT signaling,0.029696763123270756
Degradation of beta-catenin by the destruction complex,-0.030643970808162634
Beta-catenin phosphorylation cascade,0.010539771952883166
Disassembly of the destruction complex and recruitment of AXIN to the membrane,5.829343884744052e-06
G alpha (12/13) signalling events,0.0994247936439098
Pre-NOTCH Transcription and Translation,-0.014784051487181244
Pre-NOTCH Expression and Processing,-0.02719761011470291
Signaling by NOTCH2,-0.0027670478164809205
NOTCH2 intracellular domain regulates transcription,-0.00262772121846866
Signaling by NOTCH3,0.024679027687314167
NOTCH3 Intracellular Domain Regulates Transcription,-0.008579570104568127
Signaling by NOTCH4,-0.0013346927406469268
NOTCH4 Intracellular Domain Regulates Transcription,-0.03238160711178987
Signaling by MET,0.04203303163217824
RAS processing,0.051483536409061496
Potential therapeutics for SARS,-0.05053468389537225
Host Interactions of HIV factors,-0.010721767093016702
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.0538368362901925
The role of Nef in HIV-1 replication and disease pathogenesis,0.0006498791172528118
NR1H2 and NR1H3-mediated signaling,-0.017778602165301603
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.020492280930384944
Diseases of glycosylation,0.034584713211947414
Diseases associated with O-glycosylation of proteins,0.0076477547995753735
Defective GALNT3 causes HFTC,-0.018151996122864014
Defective GALNT12 causes CRCS1,0.015638087239950846
Diseases of metabolism,0.023735260196293347
Diseases of DNA repair,0.09348068006133269
Diseases of DNA Double-Strand Break Repair,-0.004765374066425312
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,-8.26179685972211e-05
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,-0.002740671832056121
Defective homologous recombination repair (HRR) due to PALB2 loss of function,-0.001977171577904286
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,-0.013157332757230682
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,-0.0007046413664930388
Impaired BRCA2 binding to RAD51,0.02852180735702089
Impaired BRCA2 binding to PALB2,0.06158575143249103
Effects of PIP2 hydrolysis,-0.045753000765974626
Integrin signaling,0.007808655916177229
Retrograde neurotrophin signalling,-0.003916468332862195
Signaling by NTRK1 (TRKA),-0.1229891432031122
TNFR1-induced proapoptotic signaling,0.001369891757677391
Regulation of TNFR1 signaling,-0.05613808621214617
TNFR1-induced NF-kappa-B signaling pathway,0.11999702720114636
TNF signaling,0.0012529265021207128
RHOA GTPase cycle,0.0035199313400113407
SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.03036576091233728
HCMV Infection,-0.0003531585152520869
HCMV Early Events,-0.030937013102249278
Regulation of RAS by GAPs,-0.1512225243196028
RHOF GTPase cycle,-0.0036664084662605696
P2Y receptors,-0.007682091702951605
Nucleotide-like (purinergic) receptors,-0.0005290565737248577
Signaling by PTK6,-0.0549693882307886
Signaling by Non-Receptor Tyrosine Kinases,0.00840635626770466
Signaling by Retinoic Acid,-0.014509908867038079
RA biosynthesis pathway,-0.005193962578876377
Signaling by ERBB2,-0.006810454022029031
Downregulation of ERBB2 signaling,0.01665891996431187
Activated NOTCH1 Transmits Signal to the Nucleus,0.00713218049326247
NOTCH2 Activation and Transmission of Signal to the Nucleus,0.20855110870099322
NOTCH3 Activation and Transmission of Signal to the Nucleus,0.016250469986376033
Opioid Signalling,-0.019148802388652224
DARPP-32 events,0.03246527883198039
Nuclear Events (kinase and transcription factor activation),-0.021255272203829133
Signaling by NTRK2 (TRKB),-0.006873238197060537
NGF-stimulated transcription,-0.0073392012524225005
Class B/2 (Secretin family receptors),0.058891151699436296
G alpha (s) signalling events,-0.09809869464429054
RHOB GTPase cycle,0.004186619171043821
RHOC GTPase cycle,-0.03592955222525659
Vpu mediated degradation of CD4,0.004557266422164537
Vif-mediated degradation of APOBEC3G,-0.05031128898794358
PCP/CE pathway,-0.07546896376555375
Asymmetric localization of PCP proteins,0.0319133095585841
Degradation of AXIN,0.0349032882588964
Degradation of DVL,-0.00985859957217441
Hedgehog ligand biogenesis,-0.03172952524257816
Hh mutants are degraded by ERAD,-0.028163406422957414
