Pathway,Score
Signaling by VEGF,0.07635541781070047
Negative regulation of the PI3K/AKT network,0.05745424288288018
PI3K/AKT Signaling in Cancer,0.01823260211154154
G beta:gamma signalling through PI3Kgamma,0.046282692516276314
G-protein beta:gamma signalling,-0.015013164352628764
VEGFA-VEGFR2 Pathway,0.01484347379821289
VEGFR2 mediated vascular permeability,0.002029343152194616
Constitutive Signaling by AKT1 E17K in Cancer,0.00039232470082911175
Respiratory Syncytial Virus Infection Pathway,0.013235606917664901
RSV-host interactions,0.0001480486518327683
RHO GTPases Activate WASPs and WAVEs,-0.011229147475234359
RAC2 GTPase cycle,0.0058296527054354915
RAC3 GTPase cycle,-0.01293912639062499
Parasite infection,0.023007019368350777
Leishmania phagocytosis,0.01681507921733723
FCGR3A-mediated phagocytosis,0.01724002846245143
Signaling by NOTCH1,-0.000464943857304687
NOTCH1 Intracellular Domain Regulates Transcription,-0.03510263351367037
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.032137410545182904
Signaling by NOTCH1 in Cancer,0.001122618646668507
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.003163167576134393
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.1520176629076538
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,-0.0004901789767519228
Regulation of PTEN gene transcription,0.04761273670511245
Budding and maturation of HIV virion,0.007907038251628206
Uptake and actions of bacterial toxins,0.007024299964292747
Bacterial Infection Pathways,-0.024540133094359807
NRAGE signals death through JNK,0.022474166016705384
p75 NTR receptor-mediated signalling,0.001052925514577153
"Cell death signalling via NRAGE, NRIF and NADE",0.031948346365226615
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.007813257688783153
Neurodegenerative Diseases,0.014399394776784764
Diseases of programmed cell death,0.01890596810984374
Defective Intrinsic Pathway for Apoptosis,-1.1184041819030428e-05
Signaling by SCF-KIT,-0.04311309651422727
Regulation of KIT signaling,0.030846621853342214
Degradation of beta-catenin by the destruction complex,0.012561571149620832
Beta-catenin phosphorylation cascade,0.004383622631120442
Disassembly of the destruction complex and recruitment of AXIN to the membrane,-0.0002167166939387723
G alpha (12/13) signalling events,0.014513369358533312
Pre-NOTCH Transcription and Translation,-0.06405835539729535
Pre-NOTCH Expression and Processing,-0.08918589342092019
Signaling by NOTCH2,-0.1518396524411074
NOTCH2 intracellular domain regulates transcription,-0.05363598597888455
Signaling by NOTCH3,0.013053611244204177
NOTCH3 Intracellular Domain Regulates Transcription,-0.03908821288739591
Signaling by NOTCH4,0.010689765298046282
NOTCH4 Intracellular Domain Regulates Transcription,3.352085894799556e-05
Signaling by MET,0.0473225973444216
RAS processing,0.013816387755755562
Potential therapeutics for SARS,0.006059669092586291
Host Interactions of HIV factors,-0.059409580481000916
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,-0.0006463057805332188
The role of Nef in HIV-1 replication and disease pathogenesis,0.03134715554592294
NR1H2 and NR1H3-mediated signaling,0.018843574276500585
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.040931244893614244
Diseases of glycosylation,0.05766105124960914
Diseases associated with O-glycosylation of proteins,0.024784322302259628
Defective GALNT3 causes HFTC,-0.0032882038408327515
Defective GALNT12 causes CRCS1,0.027571093747789342
Diseases of metabolism,0.005386209632338693
Diseases of DNA repair,0.029360509230520162
Diseases of DNA Double-Strand Break Repair,-0.03526094716117648
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,-0.0272102298230219
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,-0.0023428918996293855
