Pathway,Score
Signaling by VEGF,0.04470820336446887
Negative regulation of the PI3K/AKT network,0.002894945922565129
PI3K/AKT Signaling in Cancer,0.10783062250958375
G beta:gamma signalling through PI3Kgamma,0.04827046850357243
G-protein beta:gamma signalling,-0.006610470535841803
VEGFA-VEGFR2 Pathway,0.0004760681662521685
VEGFR2 mediated vascular permeability,0.009399010314216071
Constitutive Signaling by AKT1 E17K in Cancer,0.07818638404787859
Respiratory Syncytial Virus Infection Pathway,0.07019056613385957
RSV-host interactions,0.04026978791754701
RHO GTPases Activate WASPs and WAVEs,-0.011162231762782152
RAC2 GTPase cycle,0.04620732391343993
RAC3 GTPase cycle,-0.04798957115071288
Parasite infection,0.09301795683286847
Leishmania phagocytosis,-0.004156623813436534
FCGR3A-mediated phagocytosis,0.017349454865460124
Signaling by NOTCH1,-0.0193376578790889
NOTCH1 Intracellular Domain Regulates Transcription,-0.020470187245554865
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.040940216714896234
Signaling by NOTCH1 in Cancer,0.023552823557594863
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.04464341389674484
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.04866674475442172
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,-0.008323049573232584
Regulation of PTEN gene transcription,0.01620385633578771
Budding and maturation of HIV virion,0.07691823972661643
Uptake and actions of bacterial toxins,0.014156325041573081
Bacterial Infection Pathways,-0.038789138893637345
NRAGE signals death through JNK,-0.0031300626046158087
p75 NTR receptor-mediated signalling,-0.0104398834021292
"Cell death signalling via NRAGE, NRIF and NADE",0.0662779936284586
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.0020185771445630375
Neurodegenerative Diseases,0.04480539198889063
Diseases of programmed cell death,0.07948326820270779
Defective Intrinsic Pathway for Apoptosis,-0.0010206274333948392
Signaling by SCF-KIT,-0.012128163210106683
Regulation of KIT signaling,0.025444217945672334
Degradation of beta-catenin by the destruction complex,-0.022677407993822923
Beta-catenin phosphorylation cascade,0.021042202337059935
Disassembly of the destruction complex and recruitment of AXIN to the membrane,-0.010412009500525095
G alpha (12/13) signalling events,0.10601726347136706
Pre-NOTCH Transcription and Translation,-0.05431090890582171
Pre-NOTCH Expression and Processing,-0.05680995880508422
Signaling by NOTCH2,-0.051403970570617505
NOTCH2 intracellular domain regulates transcription,-0.060936278702967334
Signaling by NOTCH3,0.009689639694340729
NOTCH3 Intracellular Domain Regulates Transcription,-0.025239128909381018
Signaling by NOTCH4,-0.010645402727816285
NOTCH4 Intracellular Domain Regulates Transcription,-0.011536152624655273
Signaling by MET,0.04063628410941171
RAS processing,0.01788480893587682
Potential therapeutics for SARS,-0.03970805435466083
Host Interactions of HIV factors,-0.09255344494592684
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.02469163066018381
The role of Nef in HIV-1 replication and disease pathogenesis,0.00730678318196657
NR1H2 and NR1H3-mediated signaling,0.010451369174563968
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.08717215553158322
Diseases of glycosylation,0.027049153598780292
