Pathway,Score
Signaling by VEGF,0.045615404557515817
Negative regulation of the PI3K/AKT network,0.027369279087648305
PI3K/AKT Signaling in Cancer,0.0176672889617446
G beta:gamma signalling through PI3Kgamma,0.07396571890025558
G-protein beta:gamma signalling,-0.01814760162260596
VEGFA-VEGFR2 Pathway,0.01758230987500576
VEGFR2 mediated vascular permeability,0.01637789010641465
Constitutive Signaling by AKT1 E17K in Cancer,0.0567947379444726
Respiratory Syncytial Virus Infection Pathway,0.04755626925569945
RSV-host interactions,0.04212042283735037
RHO GTPases Activate WASPs and WAVEs,-0.0022473177218729034
RAC2 GTPase cycle,0.033158972534094874
RAC3 GTPase cycle,-0.08939283511188308
Parasite infection,0.06965156792745324
Leishmania phagocytosis,0.009303083282377497
FCGR3A-mediated phagocytosis,0.037482570970183364
Signaling by NOTCH1,0.02195024775563211
NOTCH1 Intracellular Domain Regulates Transcription,-0.012119717401564811
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.008760665052099768
Signaling by NOTCH1 in Cancer,0.00758350228725205
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.02617826331836363
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.050997955206185525
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,0.004595549334747653
Regulation of PTEN gene transcription,0.018824077724147566
Budding and maturation of HIV virion,0.029997125186160968
Uptake and actions of bacterial toxins,0.013730727562601488
Bacterial Infection Pathways,-0.04866254878385038
NRAGE signals death through JNK,0.0060668447452529115
p75 NTR receptor-mediated signalling,-0.024995233776085344
"Cell death signalling via NRAGE, NRIF and NADE",0.014921125745120481
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.0020241645086007103
Neurodegenerative Diseases,0.03473265183491289
Diseases of programmed cell death,0.037793102429437384
Defective Intrinsic Pathway for Apoptosis,0.004865808899918351
Signaling by SCF-KIT,-0.023036064554874745
Regulation of KIT signaling,0.00676006552963558
Degradation of beta-catenin by the destruction complex,0.008261595052130795
Beta-catenin phosphorylation cascade,0.004919120261219625
Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.0015348698211494012
G alpha (12/13) signalling events,0.03313854967268708
Pre-NOTCH Transcription and Translation,-0.06125484337162201
Pre-NOTCH Expression and Processing,-0.02183983061489288
Signaling by NOTCH2,-0.052939520456589784
NOTCH2 intracellular domain regulates transcription,-0.01769172516184539
Signaling by NOTCH3,0.007708764051437662
NOTCH3 Intracellular Domain Regulates Transcription,-0.016308550077924346
Signaling by NOTCH4,-0.011244948620435645
NOTCH4 Intracellular Domain Regulates Transcription,0.004318401765263523
Signaling by MET,0.019593151118696275
RAS processing,0.019144434270409044
Potential therapeutics for SARS,-0.06477728322081015
Host Interactions of HIV factors,-0.08383656631837798
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.024197307094272973
The role of Nef in HIV-1 replication and disease pathogenesis,0.005976179372308162
NR1H2 and NR1H3-mediated signaling,0.027760611932332972
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.02382105297385805
Diseases of glycosylation,0.051813185738609054
Diseases associated with O-glycosylation of proteins,0.011202945690560129
Defective GALNT3 causes HFTC,-0.007677985658292014
Defective GALNT12 causes CRCS1,0.0035579408191880393
Diseases of metabolism,0.0348022028584574
Diseases of DNA repair,0.03025114107699108
Diseases of DNA Double-Strand Break Repair,-0.010474372771295025
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,-0.011871811558826592
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,0.0014790405332930872
Defective homologous recombination repair (HRR) due to PALB2 loss of function,-0.004188883870655778
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,-0.004011627730487204
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,-0.006431893602909046
Impaired BRCA2 binding to RAD51,0.007737985759304612
Impaired BRCA2 binding to PALB2,0.037096852082667185
Effects of PIP2 hydrolysis,-0.07892104305964003
Integrin signaling,-0.006646502480119858
Retrograde neurotrophin signalling,-0.004897314567931753
