Pathway,Score
Signaling by VEGF,0.07682721530089719
Negative regulation of the PI3K/AKT network,-0.004995868727889586
PI3K/AKT Signaling in Cancer,0.06496540421306762
G beta:gamma signalling through PI3Kgamma,0.04569417251577449
G-protein beta:gamma signalling,-0.014516240732528796
VEGFA-VEGFR2 Pathway,0.014945151281871965
VEGFR2 mediated vascular permeability,0.008714770374281833
Constitutive Signaling by AKT1 E17K in Cancer,0.015557947136612127
Respiratory Syncytial Virus Infection Pathway,0.032483534212388074
RSV-host interactions,0.004209590566872601
RHO GTPases Activate WASPs and WAVEs,-0.013368765644469092
RAC2 GTPase cycle,0.017642337679309294
RAC3 GTPase cycle,-0.045751354911884534
Parasite infection,0.07156455260268375
Leishmania phagocytosis,-0.005084346186810411
FCGR3A-mediated phagocytosis,0.007376057763665057
Signaling by NOTCH1,-0.014927478626213962
NOTCH1 Intracellular Domain Regulates Transcription,-0.012875576072273003
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.019397766948227504
Signaling by NOTCH1 in Cancer,0.02355347527886342
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.039355040597059486
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.05614390589383248
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,-0.0001153497990817595
Regulation of PTEN gene transcription,0.03615130205184193
Budding and maturation of HIV virion,0.028951403217194166
Uptake and actions of bacterial toxins,0.011245720069140444
Bacterial Infection Pathways,-0.03389622106300563
NRAGE signals death through JNK,-0.0009228991484108075
p75 NTR receptor-mediated signalling,-0.004574339659868705
"Cell death signalling via NRAGE, NRIF and NADE",0.03524935145506993
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.00447648881550748
Neurodegenerative Diseases,0.03130297039156733
Diseases of programmed cell death,0.07506943702454286
Defective Intrinsic Pathway for Apoptosis,-0.019216004542684427
Signaling by SCF-KIT,-0.019048244963830733
Regulation of KIT signaling,0.04890764571927557
Degradation of beta-catenin by the destruction complex,-0.015389573286376272
Beta-catenin phosphorylation cascade,0.005355588708083836
Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.000546733174450098
G alpha (12/13) signalling events,0.08361156215458329
Pre-NOTCH Transcription and Translation,-0.07362134547887425
Pre-NOTCH Expression and Processing,-0.08459104947210452
Signaling by NOTCH2,-0.024367027574213714
NOTCH2 intracellular domain regulates transcription,-0.07490933641119399
Signaling by NOTCH3,0.038956025990735645
NOTCH3 Intracellular Domain Regulates Transcription,-0.028359824474543195
Signaling by NOTCH4,-0.015711843779845802
NOTCH4 Intracellular Domain Regulates Transcription,-0.00360692048265178
Signaling by MET,0.05005797528191999
RAS processing,0.018040391402448085
Potential therapeutics for SARS,-0.026690351299707097
Host Interactions of HIV factors,-0.07837383873850905
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.006825731888325603
The role of Nef in HIV-1 replication and disease pathogenesis,0.028008122415620788
NR1H2 and NR1H3-mediated signaling,-0.0010742429905414893
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.1236524756987617
Diseases of glycosylation,0.022014325239503606
Diseases associated with O-glycosylation of proteins,0.008891867243011992
Defective GALNT3 causes HFTC,-0.025697677752119664
Defective GALNT12 causes CRCS1,0.0249467252665192
Diseases of metabolism,0.015640290775822838
Diseases of DNA repair,0.03341189528302449
Diseases of DNA Double-Strand Break Repair,-0.02023249746305278
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,-0.03514373440029102
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,-0.003404762170155797
Defective homologous recombination repair (HRR) due to PALB2 loss of function,-0.01957714525034136
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,-0.0014424528246579668
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,-0.005054170302367212
Impaired BRCA2 binding to RAD51,0.019414507515170376
Impaired BRCA2 binding to PALB2,0.028073001479055476
Effects of PIP2 hydrolysis,-0.014422361083817656
Integrin signaling,0.0003834214369138332
Retrograde neurotrophin signalling,-0.0007214571469468225
Signaling by NTRK1 (TRKA),-0.07941666206198683
TNFR1-induced proapoptotic signaling,-0.009420936422242157
Regulation of TNFR1 signaling,-0.056187408673392926
TNFR1-induced NF-kappa-B signaling pathway,0.03156949602975239
TNF signaling,0.024829003257153575
RHOA GTPase cycle,0.02043309515915231
SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.008904282433422128
HCMV Infection,-0.008676131487691155
HCMV Early Events,-0.0057717256458909945
Regulation of RAS by GAPs,-0.016313015953736784
RHOF GTPase cycle,-0.05587464150544116
P2Y receptors,-0.013446657898030977
Nucleotide-like (purinergic) receptors,0.0016969067444544065
Signaling by PTK6,-0.0023660063523907576
Signaling by Non-Receptor Tyrosine Kinases,0.013013810150555756
Signaling by Retinoic Acid,-0.06961322779320976
RA biosynthesis pathway,-0.047221330379616525
Signaling by ERBB2,-0.002334449563108582
Downregulation of ERBB2 signaling,0.03370735192932319
Activated NOTCH1 Transmits Signal to the Nucleus,0.03236365297087934
NOTCH2 Activation and Transmission of Signal to the Nucleus,0.15045894977351773
NOTCH3 Activation and Transmission of Signal to the Nucleus,0.030609728368784065
Opioid Signalling,-0.016341911447433383
DARPP-32 events,0.0429925644851909
