Pathway,Score
Signaling by VEGF,0.039432098062764355
Negative regulation of the PI3K/AKT network,0.010331391384176172
PI3K/AKT Signaling in Cancer,0.04795532276343427
G beta:gamma signalling through PI3Kgamma,0.10216940973091865
G-protein beta:gamma signalling,-0.005261101528126405
VEGFA-VEGFR2 Pathway,-0.001976604340651646
VEGFR2 mediated vascular permeability,0.013385238795142102
Constitutive Signaling by AKT1 E17K in Cancer,0.05856801848736679
Respiratory Syncytial Virus Infection Pathway,0.064873842464326
RSV-host interactions,0.0674466899559654
RHO GTPases Activate WASPs and WAVEs,-0.004503721581058167
RAC2 GTPase cycle,0.02211511082574251
RAC3 GTPase cycle,-0.07222590787118624
Parasite infection,0.07677574843378081
Leishmania phagocytosis,0.01706869013644802
FCGR3A-mediated phagocytosis,0.04124026151229846
Signaling by NOTCH1,0.009921576432740189
NOTCH1 Intracellular Domain Regulates Transcription,-0.009465360628308416
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.013790897377450007
Signaling by NOTCH1 in Cancer,0.01597730233515768
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.03721226848291616
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.07289157986890055
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,-0.005846566334153068
Regulation of PTEN gene transcription,0.03073154527193385
Budding and maturation of HIV virion,0.061223972757440306
Uptake and actions of bacterial toxins,0.011282019845059263
Bacterial Infection Pathways,-0.017313585216726782
NRAGE signals death through JNK,0.005647296821107733
p75 NTR receptor-mediated signalling,-0.012088430881089313
"Cell death signalling via NRAGE, NRIF and NADE",0.04510751872445778
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,-0.002405789514108367
Neurodegenerative Diseases,0.041561060422339514
Diseases of programmed cell death,0.07808264782394544
Defective Intrinsic Pathway for Apoptosis,0.00023590667696927244
Signaling by SCF-KIT,0.0017690625563325595
Regulation of KIT signaling,0.010015423147160432
Degradation of beta-catenin by the destruction complex,0.006634574695675523
Beta-catenin phosphorylation cascade,0.009610365050686881
Disassembly of the destruction complex and recruitment of AXIN to the membrane,-0.00885144958828345
G alpha (12/13) signalling events,0.03174494008638325
Pre-NOTCH Transcription and Translation,-0.04493619300470348
Pre-NOTCH Expression and Processing,-0.02208864409928363
Signaling by NOTCH2,-0.053075898806877256
NOTCH2 intracellular domain regulates transcription,-0.032325691687076816
Signaling by NOTCH3,0.015522273780841965
NOTCH3 Intracellular Domain Regulates Transcription,-0.02471269527595699
Signaling by NOTCH4,-0.009344624257822662
NOTCH4 Intracellular Domain Regulates Transcription,-0.0004741168899054717
Signaling by MET,0.020023568986742898
RAS processing,0.029333107564830877
Potential therapeutics for SARS,-0.13203881720143829
Host Interactions of HIV factors,-0.07439638400397842
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.023630938961179616
The role of Nef in HIV-1 replication and disease pathogenesis,0.008026841678172334
NR1H2 and NR1H3-mediated signaling,0.021325979810049325
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.058917474111736715
Diseases of glycosylation,0.06131436677139652
Diseases associated with O-glycosylation of proteins,0.00742565749870131
Defective GALNT3 causes HFTC,-0.01601393938878193
Defective GALNT12 causes CRCS1,0.027391033304468456
Diseases of metabolism,0.03448794619383837
Diseases of DNA repair,0.033858417277295584
Diseases of DNA Double-Strand Break Repair,-0.008946616735181184
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,-0.008025082726958427
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,-0.005712897400805497
Defective homologous recombination repair (HRR) due to PALB2 loss of function,-0.010205864789261167
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,0.002326018324957236
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,-0.0005031377805026707
Impaired BRCA2 binding to RAD51,0.005352130353095988
Impaired BRCA2 binding to PALB2,0.04066964871314257
Effects of PIP2 hydrolysis,-0.11860087954894959
Integrin signaling,-0.0023277253893336865
Retrograde neurotrophin signalling,-0.0073926188466458135
Signaling by NTRK1 (TRKA),-0.13460462681524005
TNFR1-induced proapoptotic signaling,-0.03758339119752206
Regulation of TNFR1 signaling,-0.04245349606699853
TNFR1-induced NF-kappa-B signaling pathway,0.09497713986699173
TNF signaling,0.016726180823739344
RHOA GTPase cycle,0.052224805201747396
SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.0035671275789138025
HCMV Infection,-0.000784468535802811
HCMV Early Events,7.58200246826466e-05
Regulation of RAS by GAPs,-0.1706562303233781
RHOF GTPase cycle,-0.007193071319775464
P2Y receptors,-0.0015234880996136608
Nucleotide-like (purinergic) receptors,0.025022057537978416
Signaling by PTK6,-0.06784964494857806
Signaling by Non-Receptor Tyrosine Kinases,0.025399967495792944
Signaling by Retinoic Acid,-0.013961896585300797
RA biosynthesis pathway,-0.04083064357694192
Signaling by ERBB2,-0.0021746992986003853
Downregulation of ERBB2 signaling,0.0079867750555869
Activated NOTCH1 Transmits Signal to the Nucleus,0.0061002709776727775
NOTCH2 Activation and Transmission of Signal to the Nucleus,0.03665982673357484
NOTCH3 Activation and Transmission of Signal to the Nucleus,0.03029207426047045
Opioid Signalling,-0.05557244069233097
DARPP-32 events,0.05294608943665758
Nuclear Events (kinase and transcription factor activation),-0.006641076810886908
Signaling by NTRK2 (TRKB),-0.0056202881488168766
NGF-stimulated transcription,-0.004704915272059861
Class B/2 (Secretin family receptors),0.046925952851150254
G alpha (s) signalling events,-0.06604433890607853
RHOB GTPase cycle,-0.005770057294581318
RHOC GTPase cycle,-0.0026167179522377233
Vpu mediated degradation of CD4,0.006869655866106798
Vif-mediated degradation of APOBEC3G,-0.0649000682210276
PCP/CE pathway,-0.08457941757798143
Asymmetric localization of PCP proteins,0.07867984406651594
Degradation of AXIN,0.030993863070222127
Degradation of DVL,-0.020199003952123276
Hedgehog ligand biogenesis,-0.01059926714489774
Hh mutants are degraded by ERAD,0.0055077760507770855
Hh mutants abrogate ligand secretion,0.015082674193995914
Degradation of GLI1 by the proteasome,-0.005738397368634814
Degradation of GLI2 by the proteasome,-0.07247511061244001
GLI3 is processed to GLI3R by the proteasome,-0.0068520392302331475
Hedgehog 'off' state,-0.0001398586991803017
ABC transporter disorders,-0.021138049789317256
Disorders of transmembrane transporters,0.007976824489783998
Hedgehog 'on' state,0.061359265000071044
Defective CFTR causes cystic fibrosis,0.06650124524474443
MAPK6/MAPK4 signaling,0.015021047000305307
Regulation of PTEN stability and activity,-0.0019194592502771773
Negative regulation of NOTCH4 signaling,0.0021531321946157912
Formation of HIV elongation complex in the absence of HIV Tat,-0.019414853728374187
Formation of the HIV-1 Early Elongation Complex,-0.001668067216987795
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,-0.019514503315813322
HIV Transcription Initiation,-0.010763929220813715
RNA Polymerase II HIV Promoter Escape,-0.01960172191024546
HIV Transcription Elongation,-0.04583793914237702
Transcription of the HIV genome,0.0060516688597139386
Formation of HIV-1 elongation complex containing HIV-1 Tat,-0.006770004158554596
Tat-mediated elongation of the HIV-1 transcript,-0.012737407132502007
RHOBTB3 ATPase cycle,0.006434976696146606
Signaling by TGF-beta Receptor Complex,0.03613665756203048
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,-0.054932910814331215
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,-0.06965863104881252
Pausing and recovery of Tat-mediated HIV elongation,0.022407460722182703
Tat-mediated HIV elongation arrest and recovery,-0.013877483921752124
HIV elongation arrest and recovery,0.00995804515549901
Pausing and recovery of HIV elongation,-0.01852487782314443
Estrogen-dependent gene expression,0.009362866508291422
RHOBTB2 GTPase cycle,0.037019419560415545
RHOBTB1 GTPase cycle,0.03677231450018331
RHOBTB GTPase Cycle,-0.04310351670950942
Signaling by EGFR,0.007728316544169315
EGFR downregulation,-0.004837697991796841
Signaling by FGFR,0.06984231685532288
Negative regulation of FGFR1 signaling,0.018535785956938083
Negative regulation of FGFR2 signaling,0.016438887299318937
Negative regulation of FGFR3 signaling,-0.010157548984392787
Negative regulation of FGFR4 signaling,0.04195212687771217
Signaling by FGFR1,0.030215711182637134
Signaling by FGFR2,0.008715932590598517
Signaling by FGFR3,-0.02709254239529396
