Pathway,Score
Signaling by VEGF,0.07302138129173841
Negative regulation of the PI3K/AKT network,0.010729836784002723
PI3K/AKT Signaling in Cancer,0.07980994077021167
G beta:gamma signalling through PI3Kgamma,0.015402035962113729
G-protein beta:gamma signalling,0.0030291817866060053
VEGFA-VEGFR2 Pathway,-0.0009608894015061118
VEGFR2 mediated vascular permeability,0.0032445257181516083
Constitutive Signaling by AKT1 E17K in Cancer,0.019316863339699366
Respiratory Syncytial Virus Infection Pathway,0.01747239529210629
RSV-host interactions,0.009618876384305034
RHO GTPases Activate WASPs and WAVEs,-0.0197435820238188
RAC2 GTPase cycle,0.031393382380208425
RAC3 GTPase cycle,-0.05297237297260174
Parasite infection,0.06362809487310563
Leishmania phagocytosis,-0.01587310138973954
FCGR3A-mediated phagocytosis,-0.003397178573084237
Signaling by NOTCH1,-0.027672622509926133
NOTCH1 Intracellular Domain Regulates Transcription,-0.014692031996833284
Signaling by NOTCH1 PEST Domain Mutants in Cancer,0.01043527317047554
Signaling by NOTCH1 in Cancer,0.020743386068711758
Constitutive Signaling by NOTCH1 PEST Domain Mutants,-0.03142856537358271
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,-0.037599793870566015
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,0.009052024113955151
Regulation of PTEN gene transcription,0.030551959861953235
Budding and maturation of HIV virion,0.02670824310508526
Uptake and actions of bacterial toxins,0.020739931581075097
Bacterial Infection Pathways,-0.064215582099863
NRAGE signals death through JNK,-0.006911920550204224
p75 NTR receptor-mediated signalling,-0.021608416526737898
"Cell death signalling via NRAGE, NRIF and NADE",0.047768968938550295
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.003471836175454166
Neurodegenerative Diseases,0.03800449835456961
Diseases of programmed cell death,0.030434161263078532
Defective Intrinsic Pathway for Apoptosis,-0.005442995958553668
Signaling by SCF-KIT,-0.014549452480369492
Regulation of KIT signaling,0.082714359770803
Degradation of beta-catenin by the destruction complex,-0.006538189190676988
Beta-catenin phosphorylation cascade,0.008107961531272224
Disassembly of the destruction complex and recruitment of AXIN to the membrane,-0.005174900646053964
G alpha (12/13) signalling events,0.09255839343194286
Pre-NOTCH Transcription and Translation,-0.06100950923548127
Pre-NOTCH Expression and Processing,-0.06983872592818817
Signaling by NOTCH2,-0.028851425302437263
NOTCH2 intracellular domain regulates transcription,-0.06320389100213997
Signaling by NOTCH3,0.01805222387650812
NOTCH3 Intracellular Domain Regulates Transcription,-0.03646383719666655
Signaling by NOTCH4,-0.0310276930954586
NOTCH4 Intracellular Domain Regulates Transcription,-0.007566688231698466
Signaling by MET,0.09291419722959188
RAS processing,0.013551614471478943
Potential therapeutics for SARS,-0.009194257943969813
Host Interactions of HIV factors,-0.06935309995793766
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.019235592214122608
The role of Nef in HIV-1 replication and disease pathogenesis,0.021489267827606587
NR1H2 and NR1H3-mediated signaling,0.0035013209529589726
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.08120245607718707
Diseases of glycosylation,0.009163170370875828
Diseases associated with O-glycosylation of proteins,0.0038845759724164554
Defective GALNT3 causes HFTC,-0.020311054745088476
Defective GALNT12 causes CRCS1,0.011672555219465702
Diseases of metabolism,0.01537430039312478
Diseases of DNA repair,0.04806285349689578
Diseases of DNA Double-Strand Break Repair,-0.03041501422455823
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,-0.02841292300549433
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,-0.0008102705966879799
Defective homologous recombination repair (HRR) due to PALB2 loss of function,-0.012457790555115433
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,-0.006777700350923425
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,-0.0057110701676051975
Impaired BRCA2 binding to RAD51,0.02711458608060184
Impaired BRCA2 binding to PALB2,0.01751950754582405
Effects of PIP2 hydrolysis,-0.016146741869889156
Integrin signaling,0.00769394210243757
Retrograde neurotrophin signalling,0.00025018614416486896
Signaling by NTRK1 (TRKA),-0.06640923320648831
TNFR1-induced proapoptotic signaling,-0.007653735010979989
Regulation of TNFR1 signaling,-0.05816895581118745
